"year","exp_unit","richness","Evar"
1999,"Argentina_S19::A::G::1999",7,0.20280205284555
1999,"Argentina_S19::A::U::1999",11,0.224757196037763
1999,"Argentina_S19::B::G::1999",7,0.152385111419983
1999,"Argentina_S19::B::U::1999",15,0.196765147073463
1999,"Argentina_S19::C::G::1999",7,0.185173633244109
1999,"Argentina_S19::C::U::1999",9,0.461026392238817
1999,"Argentina_S2::A::G::1999",16,0.242935557905463
1999,"Argentina_S2::A::U::1999",15,0.229567881518723
1999,"Argentina_S2::B::G::1999",13,0.255103941215953
1999,"Argentina_S2::B::U::1999",11,0.235280456234663
1999,"Argentina_S2::C::G::1999",12,0.231242241528674
1999,"Argentina_S2::C::U::1999",12,0.231242241528674
1999,"Argentina_S20::A::G::1999",7,0.184729559691942
1999,"Argentina_S20::A::U::1999",10,0.166699748400287
1999,"Argentina_S20::B::G::1999",7,0.441713804508954
1999,"Argentina_S20::B::U::1999",9,0.254850445586724
1999,"Argentina_S20::C::G::1999",8,0.171931056861624
1999,"Argentina_S20::C::U::1999",12,0.173314552211114
1999,"Argentina_S21::A::G::1999",19,0.426554517803267
1999,"Argentina_S21::A::U::1999",18,0.234350767390934
1999,"Argentina_S21::B::G::1999",17,0.302542184472762
1999,"Argentina_S21::B::U::1999",20,0.281891422560076
1999,"Argentina_S21::C::G::1999",18,0.286368609351326
1999,"Argentina_S21::C::U::1999",17,0.247738592388866
1999,"Argentina_S22::A::G::1999",10,0.22719101971645
1999,"Argentina_S22::A::U::1999",14,0.200087952525007
1999,"Argentina_S22::B::G::1999",11,0.206264958517769
1999,"Argentina_S22::B::U::1999",16,0.210617940568532
1999,"Argentina_S22::C::G::1999",12,0.281161651167186
1999,"Argentina_S22::C::U::1999",11,0.257792776193015
1999,"Argentina_S3::A::G::1999",6,0.163222098080339
1999,"Argentina_S3::A::U::1999",12,0.23360830287929
1999,"Argentina_S3::B::G::1999",8,0.249088572016307
1999,"Argentina_S3::B::U::1999",13,0.221474258479031
1999,"Argentina_S3::C::G::1999",8,0.192931944296531
1999,"Argentina_S3::C::U::1999",15,0.231598279270794
1999,"Argentina_S4::A::G::1999",8,0.197108128457961
1999,"Argentina_S4::A::U::1999",10,0.212618061060289
1999,"Argentina_S4::B::G::1999",9,0.137827854736221
1999,"Argentina_S4::B::U::1999",9,0.266843366706525
1999,"Argentina_S4::C::G::1999",9,0.138259316454635
1999,"Argentina_S4::C::U::1999",10,0.174585787794358
1999,"Argentina_S5::A::G::1999",10,0.232517504095126
1999,"Argentina_S5::A::U::1999",16,0.216245383351053
1999,"Argentina_S5::B::G::1999",7,0.283482148270108
1999,"Argentina_S5::B::U::1999",13,0.196683345141419
1999,"Argentina_S5::C::G::1999",6,0.15491921911096
1999,"Argentina_S5::C::U::1999",11,0.24099393421563
1999,"Argentina_S6::A::G::1999",9,0.178400790333167
1999,"Argentina_S6::A::U::1999",12,0.204178000216054
1999,"Argentina_S6::B::G::1999",5,0.220291646227881
1999,"Argentina_S6::B::U::1999",13,0.218033688631503
1999,"Argentina_S6::C::G::1999",7,0.257854776129997
1999,"Argentina_S6::C::U::1999",11,0.335169494063829
1999,"Argentina_S7::A::G::1999",8,0.177805913716366
1999,"Argentina_S7::A::U::1999",13,0.169058092398646
1999,"Argentina_S7::B::G::1999",10,0.11509436090193
1999,"Argentina_S7::B::U::1999",14,0.198908749899451
1999,"Argentina_S7::C::G::1999",9,0.304997876258993
1999,"Argentina_S7::C::U::1999",12,0.238264753857845
1999,"Argentina_S8::A::G::1999",7,0.211398107133151
1999,"Argentina_S8::A::U::1999",11,0.183768316270705
1999,"Argentina_S8::B::G::1999",7,0.243587172267645
1999,"Argentina_S8::B::U::1999",8,0.391973091453575
1999,"Argentina_S8::C::G::1999",6,0.225731245575329
1999,"Argentina_S8::C::U::1999",9,0.331200967281631
1999,"Argentina_S9::A::G::1999",10,0.219759303943358
1999,"Argentina_S9::A::U::1999",12,0.175093309087862
1999,"Argentina_S9::B::G::1999",10,0.258579370493379
1999,"Argentina_S9::B::U::1999",9,0.32223162857924
1999,"Argentina_S9::C::G::1999",9,0.222860121001425
1999,"Argentina_S9::C::U::1999",15,0.251799061176136
2010,"Argentina_Sierra::A::G::2010",52,0.257166528171319
2010,"Argentina_Sierra::A::U::2010",41,0.299085181594442
2010,"Argentina_Sierra::B::G::2010",42,0.220094132182075
2010,"Argentina_Sierra::B::U::2010",36,0.194819083178447
2010,"Argentina_Sierra::C::G::2010",48,0.227545396926223
2010,"Argentina_Sierra::C::U::2010",42,0.220206904817781
2002,"Argentina_SUL::A::G::2002",45,0.321900064241264
2002,"Argentina_SUL::A::U::2002",32,0.323100599077613
2005,"AUS_Ag_Biod::K2::G::2005",19,0.611636407881339
2005,"AUS_Ag_Biod::K2::U::2005",21,0.635778113626619
2005,"AUS_Ag_Biod::L1::G::2005",13,0.613233670561478
2005,"AUS_Ag_Biod::L1::U::2005",22,0.549499588784722
2005,"AUS_Ag_Biod::P1::G::2005",18,0.803794612662297
2005,"AUS_Ag_Biod::P1::U::2005",21,0.556199206043427
2005,"AUS_Ag_Biod::W1::G::2005",20,0.549281373556658
2005,"AUS_Ag_Biod::W1::U::2005",23,0.563904435042816
2005,"AUS_Ag_Biod::W2::G::2005",21,0.685950982659647
2005,"AUS_Ag_Biod::W2::U::2005",21,0.549633979823816
2005,"AUS_Ag_Biod::W3::G::2005",19,0.603518198475835
2005,"AUS_Ag_Biod::W3::U::2005",19,0.553976775639987
2015,"AUS_Arumpo::A::G::2015",22,0.301878200494233
2015,"AUS_Arumpo::A::U::2015",28,0.278861898280269
1998,"AUS_Berry::A::G::1998",28,0.83629413131897
1998,"AUS_Berry::A::U::1998",22,0.801253208402458
1998,"AUS_Berry::B::G::1998",24,0.85469942281993
1998,"AUS_Berry::B::U::1998",23,0.850002216567476
1998,"AUS_Berry::C::G::1998",26,0.843065175097314
1998,"AUS_Berry::C::U::1998",15,0.853128029308642
1998,"AUS_Berry::D::G::1998",28,0.814606730504815
1998,"AUS_Berry::D::U::1998",20,0.805798972909524
1998,"AUS_Berry::E::G::1998",20,0.768779973115933
1998,"AUS_Berry::E::U::1998",16,0.807746867837165
2003,"AUS_Birregurra::A::G::2003",15,0.321933788651047
2004,"AUS_Birregurra::A::G::2004",14,0.324193803709907
2005,"AUS_Birregurra::A::G::2005",17,0.303543063044485
2003,"AUS_Birregurra::A::U::2003",15,0.266764093341848
2004,"AUS_Birregurra::A::U::2004",18,0.361495600486179
2005,"AUS_Birregurra::A::U::2005",17,0.352080346169391
2003,"AUS_Birregurra::B::G::2003",15,0.269400817897629
2004,"AUS_Birregurra::B::G::2004",16,0.246851628211133
2005,"AUS_Birregurra::B::G::2005",21,0.219543534381478
2003,"AUS_Birregurra::B::U::2003",18,0.235013039093563
2004,"AUS_Birregurra::B::U::2004",14,0.259510954049134
2005,"AUS_Birregurra::B::U::2005",18,0.236390771487723
2003,"AUS_Birregurra::C::G::2003",20,0.307596888856383
2004,"AUS_Birregurra::C::G::2004",17,0.313277354365791
2005,"AUS_Birregurra::C::G::2005",20,0.259537276690717
2003,"AUS_Birregurra::C::U::2003",18,0.299645787751854
2004,"AUS_Birregurra::C::U::2004",15,0.414421147816834
2005,"AUS_Birregurra::C::U::2005",17,0.238070365226144
