genus_species,tnrs_accepted_name,clean_ejf,family_ejf,pathway
Abietinella.abietina,Abietinella abietina,Abietinella abietina,Thuidiaceae,C3
Abronia.fragrans,Abronia fragrans,Abronia fragrans,Nyctaginaceae,C3
Abutilon,Abutilon,Abutilon,Malvaceae,C3
Abutilon otocarpum,Abutilon otocarpum,Abutilon otocarpum,Malvaceae,C3
Abutilon.australo.af,Abutilon australe,Abutilon australe,Malvaceae,C3
Abutilon.austro.africanum,,Abutilon austro-africanum,Malvaceae,C3
Abutilon.mauritianum,Abutilon mauritianum,Abutilon mauritianum,Malvaceae,C3
Abutilon.otocarpum,Abutilon otocarpum,Abutilon otocarpum,Malvaceae,C3
Abutilon.sonneratianum,Abutilon sonneratianum,Abutilon sonneratianum,Malvaceae,C3
Abution.pauciflorum,Abutilon pauciflorum,Abutilon pauciflorum,Malvaceae,C3
Acacia colletioides,Acacia colletioides,Acacia colletioides,Leguminosae,C3
Acacia nigrescens,Senegalia nigrescens,Senegalia nigrescens,Leguminosae,C3
Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Leguminosae,C3
Acacia salicina,Acacia salicina,Acacia salicina,Leguminosae,C3
Acacia sp.,Acacia,Acacia,Leguminosae,C3
Acacia.nigrescens,Senegalia nigrescens,Senegalia nigrescens,Leguminosae,C3
Acacia.schaffneri,Vachellia schaffneri,Acacia schaffneri,Leguminosae,C3
Acacia.sp,Acacia,Acacia,Leguminosae,C3
ACAENA_PINATIFIDA,Acaena pinnatifida,Acaena pinnatifida,Rosaceae,C3
ACAENA_sp,Acaena,Acaena,Rosaceae,C3
ACAENA_SPLENDENS,Acaena splendens,Acaena splendens,Rosaceae,C3
Acaena.caesiiglauca,Acaena caesiglauca,Acaena caesiglauca,Rosaceae,C3
Acaena.echinata,,Acaena echinata,Rosaceae,C3
Acaena.inermis,Acaena inermis,Acaena inermis,Rosaceae,C3
Acaena.novae.zelandiae,Acaena novae-zelandiae,Acaena novae-zelandiae,Rosaceae,C3
Acaena.ovina,,Acaena ovina,Rosaceae,C3
Acaena.spp.,Acaena,Acaena,Rosaceae,C3
Acalypha villicaulis,Acalypha brachiata,Acalypha brachiata,Euphorbiaceae,C3
Acalypha.crenata,Acalypha crenata,Acalypha crenata,Euphorbiaceae,C3
Acalypha.indica,Acalypha indica,Acalypha indica,Euphorbiaceae,C3
Acalypha.segetalis,Acalypha segetalis,Acalypha segetalis,Euphorbiaceae,C3
Acalypha.villicaulis,Acalypha brachiata,Acalypha brachiata,Euphorbiaceae,C3
Acanthospermum.hispidum.,Acanthospermum hispidum,Acanthospermum hispidum,Compositae,C3
Acer.campestris,Acer campestre,Acer campestre,Sapindaceae,C3
Acer.negundo,Acer negundo,Acer negundo,Sapindaceae,C3
Acer.spec.,Acer,Acer,Sapindaceae,C3
Achillea_millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
achillea_millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.lanulosa,Achillea lanulosa,Achillea lanulosa,Compositae,C3
achillea.millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium.agg.,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium.L..agg.,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.sp.,Achillea,Achillea,Compositae,C3
Achnatherum.sibiricum_L._Keng,Stipa sibirica,Stipa sibirica,Poaceae,C3
Achnatherum.splendens,Stipa splendens,Stipa splendens,Poaceae,C3
Achnochloa.granularis..,,Echinochloa granularis,Poaceae,C3
Achyrachaena.mollis,Achyrachaena mollis,Achyrachaena mollis,Compositae,C3
Achyranthes_aspera,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyranthes.aspera,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyranthes.aspera.L.,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyrocline.satureioides,Achyrocline satureioides,Achyrocline satureioides,Compositae,C3
Achyropsis leptostachya,Achyropsis leptostachya,Achyropsis leptostachya,Amaranthaceae,C3
Achyropsis.leptostachya,Achyropsis leptostachya,Achyropsis leptostachya,Amaranthaceae,C3
Acinos.alpinus,Acinos alpinus,Acinos alpinus,Lamiaceae,C3
Acinos.alpinus..L...Moench,Acinos alpinus,Acinos alpinus,Lamiaceae,C3
Acinos.arvensis,Clinopodium acinos,Clinopodium acinos,Lamiaceae,C3
Acmella.decumbens,Acmella decumbens,Acmella decumbens,Compositae,C3
Acmispon.americanus,Acmispon americanus,Acmispon americanus,Leguminosae,C3
Acmispon.brachycarpus,Acmispon brachycarpus,Acmispon brachycarpus,Leguminosae,C3
Aconitum.napellus.L..agg.,Aconitum napellus,Aconitum napellus,Ranunculaceae,C3
aconogonum,Aconogonum,Aconogonum,Polygonaceae,C3
Acrothamnus.colensoi,,Acrothamnus colensoi,Ericaceae,C3
Actinobole uliginosum,Actinobole uliginosum,Actinobole uliginosum,Compositae,C3
Actinobole.uliginosum,Actinobole uliginosum,Actinobole uliginosum,Compositae,C3
ADENO,,NA,NA,
ADESMIA_BORONIOIDES,Adesmia boronioides,Adesmia boronioides,Leguminosae,C3
ADESMIA_CAMPESTRIS,Adesmia volckmannii,Adesmia volckmannii,Leguminosae,C3
ADESMIA_CORIMBOSA,Adesmia corymbosa,Adesmia corymbosa,Leguminosae,C3
ADESMIA_LOTOIDES,,Adesmia lotoides,Leguminosae,C3
Adesmia.bicolor,Adesmia bicolor,Adesmia bicolor,Leguminosae,C3
Adiantopsis_sp,Adiantopsis,Adiantopsis,Pteridaceae,C3
Adiantopsis.sp.,Adiantopsis,Adiantopsis,Pteridaceae,C3
Aeonium.smithii,Aeonium smithii,Aeonium smithii,Crassulaceae,CAM?
Aeonium.sp.,Aeonium,Aeonium,Crassulaceae,CAM?
Aeonium.urbicum,Aeonium urbicum,Aeonium urbicum,Crassulaceae,CAM?
Aerva.lanata,Aerva lanata,Aerva lanata,Amaranthaceae,C4?
Aerva.leucura,Aerva leucura,Aerva leucura,Amaranthaceae,C4?
AF53,,NA,NA,
Agalinis.comunis,Agalinis comunis,Agalinis comunis,Orobanchaceae,C3
Agathisanthemum.bojeri,Agathisanthemum bojeri,Agathisanthemum bojeri,Rubiaceae,C3
Agenium.vilosum,Agenium villosum,Agenium villosum,Poaceae,C4
Agoseris.glauca,Agoseris glauca,Agoseris glauca,Compositae,C3
Agoseris.heterophylla,Agoseris heterophylla,Agoseris heterophylla,Compositae,C3
Agrimonia.procera,Agrimonia procera,Agrimonia procera,Rosaceae,C3
Agropyron scabrum,Elymus scabrus,Elymus scabrus,Poaceae,C3
agropyron_smithii,Elymus smithii,Elymus smithii,Poaceae,C3
Agropyron.cristatum,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
agropyron.cristatum,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
Agropyron.cristatum_L._Gaertn.,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
Agropyron.repens,Elymus repens,Elymus repens,Poaceae,C3
Agropyron.smithii,Elymus smithii,Elymus smithii,Poaceae,C3
agroseris.glauca,Muhlenbergia glauca,Muhlenbergia glauca,Poaceae,C4
Agrostis_cf..capillaris,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
agrostis_hyemalis,Agrostis hyemalis,Agrostis hyemalis,Poaceae,C3
AGROSTIS_sp,Agrostis,Agrostis,Poaceae,C3
Agrostis.avenacea,Agrostis avenacea,Agrostis avenacea,Poaceae,C3
Agrostis.capillaris,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
Agrostis.capillaris.L.,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
Agrostis.castellana,Agrostis castellana,Agrostis castellana,Poaceae,C3
Agrostis.jurgensis,Agrostis hygrometrica,Agrostis hygrometrica,Poaceae,C3
Agrostis.montevidensis,Agrostis montevidensis,Agrostis montevidensis,Poaceae,C3
Agrostis.pourretii,Agrostis pourretii,Agrostis pourretii,Poaceae,C3
Agrostis.s.l..spp.,Agrostis,Agrostis,Poaceae,C3
Agrostis.sp.,Agrostis,Agrostis,Poaceae,C3
Agrostis.stolonifera,Agrostis stolonifera,Agrostis stolonifera,Poaceae,C3
Agrostis.tandilensis,Agrostis tandilensis,Agrostis tandilensis,Poaceae,C3
Agrostis.vinealis,Agrostis vinealis,Agrostis vinealis,Poaceae,C3
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.caryophyllea.subsp..caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.sp.,Aira,Aira,Poaceae,C3
Aizoon.canariense,Aizoon canariense,Aizoon canariense,Aizoaceae,C3
Ajania_fruticolosa,Ajania fruticulosa,Ajania fruticulosa,Compositae,C3
Ajania.achilleoides,Ajania achilleoides,Ajania achilleoides,Compositae,C3
Ajania.achilloides,Ajania achilloides,Ajania achilloides,Compositae,C3
Ajuga_lupulina,Ajuga lupulina,Ajuga lupulina,Lamiaceae,C3
Ajuga.genevensis,Ajuga genevensis,Ajuga genevensis,Lamiaceae,C3
Ajuga.iva,Ajuga iva,Ajuga iva,Lamiaceae,C3
Ajuga.pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,C3
Ajuga.pyramidalis.L.,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,C3
Ajuga.reptans,Ajuga reptans,Ajuga reptans,Lamiaceae,C3
Albuca,Albuca,Albuca,Hyacinthaceae,C3
Albuca ,Albuca,Albuca,Hyacinthaceae,C3
Alchemilla.alpina,Alchemilla alpina,Alchemilla alpina,Rosaceae,C3
Alchemilla.spp,Alchemilla,Alchemilla,Rosaceae,C3
Alchemilla.vulgaris,Alchemilla vulgaris,Alchemilla vulgaris,Rosaceae,C3
Alchemilla.xanthochlora.Rothm..agg.,Alchemilla xanthochlora,Alchemilla xanthochlora,Rosaceae,C3
Alectryon oleifolius,Alectryon oleifolius,Alectryon oleifolius,Sapindaceae,C3
alium,Allium,Allium,Amaryllidaceae,C3
Alium.sp.,Allium,Allium,Amaryllidaceae,C3
Allionia_incarnata,Allionia incarnata,Allionia incarnata,Nyctaginaceae,C4?
Allium,Allium,Allium,Amaryllidaceae,C3
allium_canadense,Allium canadense,Allium canadense,Amaryllidaceae,C3
Allium.acuminatum,Allium acuminatum,Allium acuminatum,Amaryllidaceae,C3
Allium.ampeloprasum,Allium ampeloprasum,Allium ampeloprasum,Amaryllidaceae,C3
Allium.anisopodium,Allium anisopodium,Allium anisopodium,Amaryllidaceae,C3
Allium.anisopodium.Ledeb.,Allium anisopodium,Allium anisopodium,Amaryllidaceae,C3
Allium.bidentatum,Allium bidentatum,Allium bidentatum,Amaryllidaceae,C3
allium.cernuum,Allium cernuum,Allium cernuum,Amaryllidaceae,C3
Allium.condensatum.Turcz.,Allium condensatum,Allium condensatum,Amaryllidaceae,C3
Allium.crispum,Allium crispum,Allium crispum,Amaryllidaceae,C3
Allium.mongolicum,Allium mongolicum,Allium mongolicum,Amaryllidaceae,C3
Allium.nevadense,Allium nevadense,Allium nevadense,Amaryllidaceae,C3
Allium.polyrrhizum,Allium polyrhizum,Allium polyrhizum,Amaryllidaceae,C3
Allium.ramosum.L.,Allium ramosum,Allium ramosum,Amaryllidaceae,C3
Allium.roseum,Allium roseum,Allium roseum,Amaryllidaceae,C3
Allium.sp.,Allium,Allium,Amaryllidaceae,C3
Allium.sphaerocephalon,Allium sphaerocephalon,Allium sphaerocephalon,Amaryllidaceae,C3
Allium.tenuissimum.L.,Allium tenuissimum,Allium tenuissimum,Amaryllidaceae,C3
Allium.textile,Allium textile,Allium textile,Amaryllidaceae,C3
Allocasuarina luehmannii,Allocasuarina luehmannii,Allocasuarina luehmannii,Casuarinaceae,C3
Aloe.sp,Aloe,Aloe,Asphodelaceae,CAM
Alopecurus.sp.,Alopecurus,Alopecurus,Poaceae,C3
Alophia.lahue,Herbertia lahue,Herbertia lahue,Iridaceae,C3
Aloysia.chamaedrifolia,Aloysia chamaedryfolia,Aloysia chamaedryfolia,Verbenaceae,C3
Altemanthus.ringens,,Allenanthus,Rubiaceae,C3
Alternanthera denticulata,Alternanthera sessilis,Alternanthera sessilis,Amaranthaceae,C4?
Alternanthera.pungens,Alternanthera pungens,Alternanthera pungens,Amaranthaceae,C4?
Alternanthera.punges,Alternanthera pungens,Alternanthera pungens,Amaranthaceae,C4?
Alternanthera.sessilis.,Alternanthera sessilis,Alternanthera sessilis,Amaranthaceae,C4?
Althernantera.philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides,Amaranthaceae,C4?
Alysicarpus.ovalufolius..S..et.Th..,,Alysicarpus ovalifolius,Leguminosae,C3
Alysicarpus.rugosus,,Alysicarpus rugosus,Leguminosae,C3
Alyssum linifolium,Alyssum linifolium,Alyssum linifolium,Brassicaceae,C3
Alyssum.alyssoides,Alyssum alyssoides,Alyssum alyssoides,Brassicaceae,C3
Alyssum.desertorum,Alyssum desertorum,Alyssum desertorum,Brassicaceae,C3
Amaranthus,Amaranthus,Amaranthus,Amaranthaceae,C4?
Amaranthus macrocarpus,Amaranthus macrocarpus,Amaranthus macrocarpus,Amaranthaceae,C4?
amaranthus_rudis,Amaranthus tuberculatus,Amaranthus tuberculatus,Amaranthaceae,C4?
Amaranthus.blitoides,Amaranthus blitoides,Amaranthus blitoides,Amaranthaceae,C4?
Amaranthus.hibridus,Amaranthus hybridus,Amaranthus hybridus,Amaranthaceae,C4?
Amaranthus.praetermissus,Amaranthus praetermissus,Amaranthus praetermissus,Amaranthaceae,C4?
Amaranthus.retroflexus,Amaranthus retroflexus,Amaranthus retroflexus,Amaranthaceae,C4?
Amaranthus.spinosus.L.,Amaranthus spinosus,Amaranthus spinosus,Amaranthaceae,C4?
Amaranthus.thunbergii,Amaranthus thunbergii,Amaranthus thunbergii,Amaranthaceae,C4?
Amaryllidaceae.Rel.,Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,C3
ambrosia_psilostachya,Ambrosia psilostachya,Ambrosia psilostachya,Compositae,C3
Ambrosia_tenuifolia,Ambrosia tenuifolia,Ambrosia tenuifolia,Compositae,C3
Ambrosia.acanthicarpa,Ambrosia acanthicarpa,Ambrosia acanthicarpa,Compositae,C3
Ambrosia.artemisifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Compositae,C3
Ambrosia.coronopifolia,Ambrosia coronopifolia,Ambrosia coronopifolia,Compositae,C3
Ambrosia.dumosa,Ambrosia dumosa,Ambrosia dumosa,Compositae,C3
Ambrosia.sp.,Ambrosia,Ambrosia,Compositae,C3
Ambrosia.spp.,Ambrosia,Ambrosia,Compositae,C3
Ambrosia.tenuifolia,Ambrosia tenuifolia,Ambrosia tenuifolia,Compositae,C3
Amelanchier.spp.,Amelanchier,Amelanchier,Rosaceae,C3
Amelanchier.utahensis,Amelanchier utahensis,Amelanchier utahensis,Rosaceae,C3
Ammocodon_chenopodioides,Acleisanthes chenopodioides,Acleisanthes chenopodioides,Nyctaginaceae,C3
Ammophila.breviligulata,Ammophila breviligulata,Ammophila breviligulata,Poaceae,C3
amorpha_canescens,,Amorpha canescens,Leguminosae,C3
Amorpha.canesens,,Amorpha canescens,Leguminosae,C3
Amorpha.nana,,Amorpha nana,Leguminosae,C3
Amorphophallus.aphyllus.Hutch.,Amorphophallus aphyllus,Amorphophallus aphyllus,Araceae,CAM?
Amphicarpa.bracteata,,Amphicarpaea bracteata,Leguminosae,C3
Amphicarpum.muehlenbergianum,Amphicarpum muehlenbergianum,Amphicarpum muhlenbergianum,Poaceae,C3
Amsinckia calycina,Amsinckia calycina,Amsinckia calycina,Boraginaceae,C3
Amsinckia.menziesii,Amsinckia menziesii,Amsinckia menziesii,Boraginaceae,C3
Anacampseros australiana,Grahamia australiana,Grahamia australiana,Anacampserotaceae,CAM
Anacampseros.albidiflora,Anacampseros albidiflora,Anacampseros albidiflora,Anacampserotaceae,C3
Anacampseros.lanceolata,Anacampseros lanceolata,Anacampseros lanceolata,Anacampserotaceae,C3
Anacampseros.sp.,Anacampseros,Anacampseros,Anacampserotaceae,C3
Anagallis.arvense,Anagallis arvensis,Anagallis arvensis,Primulaceae,C3
Anagallis.arvensis,Anagallis arvensis,Anagallis arvensis,Primulaceae,C3
Anaphalis_cf_xylorhiza,Anaphalis xylorhiza,Anaphalis xylorhiza,Compositae,C3
Anaphalis.margaritacea,Anaphalis margaritacea,Anaphalis margaritacea,Compositae,C3
Anchusa.arvensis,Anchusa arvensis,Anchusa arvensis,Boraginaceae,C3
Anchusa.azurea,Anchusa azurea,Anchusa azurea,Boraginaceae,C3
Anchusa.officinalis,Anchusa officinalis,Anchusa officinalis,Boraginaceae,C3
andropogon_gerardii,Andropogon gerardii,Andropogon gerardii,Poaceae,C4
andropogon_scoparius,Schizachyrium condensatum,Schizachyrium condensatum,Poaceae,C4
Andropogon.amplectens.Nees.,Andropogon amplectens,Andropogon amplectens,Poaceae,C4
Andropogon.ascinidis.C..B..Clarke.,Andropogon chinensis,Andropogon chinensis,Poaceae,C4
Andropogon.gayanus.Kunth.,Andropogon gayanus,Andropogon gayanus,Poaceae,C4
Andropogon.gerardi,Andropogon gerardi,Andropogon gerardii,Poaceae,C4
Andropogon.gerardii,Andropogon gerardii,Andropogon gerardii,Poaceae,C4
Andropogon.pseudapricus.Stapf,Andropogon pseudapricus,Andropogon pseudapricus,Poaceae,C4
Andropogon.sp,Andropogon,Andropogon,Poaceae,C4
Andropogon.spp,Andropogon,Andropogon,Poaceae,C4
Andropogon.ternatus,Andropogon ternatus,Andropogon ternatus,Poaceae,C4
Androsace,Androsace,Androsace,Primulaceae,C3
Androsace_graminifolia,Androsace graminifolia,Androsace graminifolia,Primulaceae,C3
androsace_occidentalis,Androsace occidentalis,Androsace occidentalis,Primulaceae,C3
Androsace_tapeta,Androsace tapete,Androsace tapete,Primulaceae,C3
Androsace.chamaejasme.Wulfen,Androsace chamaejasme,Androsace chamaejasme,Primulaceae,C3
Androsace.occidentalis,Androsace occidentalis,Androsace occidentalis,Primulaceae,C3
Andryala.integrifolia,Andryala integrifolia,Andryala integrifolia,Compositae,C3
Andryala.pinnatifida,Andryala pinnatifida,Andryala pinnatifida,Compositae,C3
Anemarrhena.asphodeloides.Bunge,Anemarrhena asphodeloides,Anemarrhena asphodeloides,Asparagaceae,C3
Anemone_obtusiloba,Anemone obtusiloba,Anemone obtusiloba,Ranunculaceae,C3
Anemone.cylindrica,Anemone cylindrica,Anemone cylindrica,Ranunculaceae,C3
Angelica_sylvestris,Angelica sylvestris,Angelica sylvestris,Apiaceae,C3
Anisantha.madritensis,Bromus madritensis,Bromus madritensis,Poaceae,C3
Anisantha.rigida,Bromus rigidus,Bromus rigidus,Poaceae,C3
Anisantha.rubens,Bromus rubens,Bromus rubens,Poaceae,C3
Anisantha.sp.,,Anisantha,Poaceae,C3
Anisotome.aromatica,Anisotome aromatica,Anisotome aromatica,Apiaceae,C3
Antenaria.dioica,Antennaria dioica,Antennaria dioica,Compositae,C3
Antennaria,Antennaria,Antennaria,Compositae,C3
antennaria_neglecta,Antennaria neglecta,Antennaria neglecta,Compositae,C3
Antennaria.dimorpha,Antennaria dimorpha,Antennaria dimorpha,Compositae,C3
Antennaria.dioica,Antennaria dioica,Antennaria dioica,Compositae,C3
Antennaria.dioica..L...Gaertn.,Antennaria dioica,Antennaria dioica,Compositae,C3
Antennaria.neglecta,Antennaria neglecta,Antennaria neglecta,Compositae,C3
antennaria.sp.,Antennaria,Antennaria,Compositae,C3
Anthemis.arvensis,Anthemis arvensis,Anthemis arvensis,Compositae,C3
Anthosachne.scabra.s.l.,Elymus scabrus,Elymus scabrus,Poaceae,C3
Anthoxanthum_odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,Poaceae,C3
Anthoxanthum.odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,Poaceae,C3
Anthoxanthum.odoratum.L..agg.,Anthoxanthum odoratum,Anthoxanthum odoratum,Poaceae,C3
Anthyllis.lotoides,Anthyllis lotoides,Anthyllis lotoides,Leguminosae,C3
Anthyllis.vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,Leguminosae,C3
Anthyllis.vulneraria.L..s.l.,Anthyllis vulneraria,Anthyllis vulneraria,Leguminosae,C3
Anthylllis.vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,Leguminosae,C3
Any.species.in.the.Astragalus.or.Oxytropis.genera,NA,NA,NA,NA
Apera.spica.venti,Apera spica-venti,Apera spica-venti,Poaceae,C3
Aphanes.microcarpa,Aphanes microcarpa,Aphanes microcarpa,Rosaceae,C3
Aphanostephus.ramosissimus,Aphanostephus ramosissimus,Aphanostephus ramosissimus,Compositae,C3
Aphelia.gracilis,Aphelia gracilis,Aphelia gracilis,Restionaceae,C3
Apium.leptophyllum,Cyclospermum leptophyllum,Cyclospermum leptophyllum,Apiaceae,C3
apocynum_cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynaceae,C3
Aposeris.foetida,Aposeris foetida,Aposeris foetida,Compositae,C3
Aptonimum.lineare,Aptosimum lineare,Aptosimum lineare,Scrophulariaceae,C3
Aptosimum.indivisum,Aptosimum indivisum,Aptosimum indivisum,Scrophulariaceae,C3
Aptosimum.spinescens,Aptosimum spinescens,Aptosimum spinescens,Scrophulariaceae,C3
Arabidopsis.thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Brassicaceae,C3
Arabis.alpina.L..s.l.,Arabis alpina,Arabis alpina,Brassicaceae,C3
Arabis.ciliata,Arabis ciliata,Arabis ciliata,Brassicaceae,C3
Arabis.ciliata.Clairv.,Arabis ciliata,Arabis ciliata,Brassicaceae,C3
arabis.drummondii,Boechera stricta,Boechera stricta,Brassicaceae,C3
Arabis.glabra,Turritis glabra,Turritis glabra,Brassicaceae,C3
Arabis.hirsuta,Arabis hirsuta,Arabis hirsuta,Brassicaceae,C3
Arabis.hirsuta.agg.,Arabis hirsuta,Arabis hirsuta,Brassicaceae,C3
arabis.holboellii,Boechera holboellii,Boechera holboellii,Brassicaceae,C3
ARBI,,NA,NA,
Arctotheca calendula,Arctotheca calendula,Arctotheca calendula,Compositae,C3
Arctotheca.calendula,Arctotheca calendula,Arctotheca calendula,Compositae,C3
Arctotis.leiocarpa,Arctotis leiocarpa,Arctotis leiocarpa,Compositae,C3
Arenaria_bryophylla,Arenaria bryophylla,Arenaria bryophylla,Caryophyllaceae,C3
arenaria.capillaries,Eremogone capillaris,Eremogone capillaris,Caryophyllaceae,C3
Arenaria.capillaris,Eremogone capillaris,Eremogone capillaris,Caryophyllaceae,C3
Arenaria.ciliata.L..s.l.,Arenaria ciliata,Arenaria ciliata,Caryophyllaceae,C3
Arenaria.lateriflora,Moehringia lateriflora,Moehringia lateriflora,Caryophyllaceae,C3
Arenaria.serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia,Caryophyllaceae,C3
Arenaria.serpyllifolia.agg.,Arenaria serpyllifolia,Arenaria serpyllifolia,Caryophyllaceae,C3
Arenaria.sp,Arenaria,Arenaria,Caryophyllaceae,C3
Arenaria.sp.,Arenaria,Arenaria,Caryophyllaceae,C3
Argyranthemum.broussonetii,Argyranthemum broussonetii,Argyranthemum broussonetii,Compositae,C3
Argyranthemum.coronopifolium,Argyranthemum coronopifolium,Argyranthemum coronopifolium,Compositae,C3
Argyranthemum.frutescens,Argyranthemum frutescens,Argyranthemum frutescens,Compositae,C3
Aridaria noctiflora,Mesembryanthemum noctiflorum,Mesembryanthemum noctiflorum,Aizoaceae,CAM
Aridaria.noctiflora,Mesembryanthemum noctiflorum,Mesembryanthemum noctiflorum,Aizoaceae,CAM
Arisarum.simorrhinum,Arisarum simorrhinum,Arisarum simorrhinum,Araceae,C3
Aristada congesta barbicollis,Aristida barbicollis,Aristida barbicollis,Poaceae,C4
Aristada.adscen,Aristida adscensionis,Aristida adscensionis,Poaceae,C4
Aristada.congesta.barbicollis,Aristida barbicollis,Aristida barbicollis,Poaceae,C4
Aristida behriana,Aristida behriana,Aristida behriana,Poaceae,C4
Aristida contorta,Aristida contorta,Aristida contorta,Poaceae,C4
Aristida jerichoensis var. jerichoensis,Aristida jerichoensis,Aristida jerichoensis,Poaceae,C4
Aristida sp.,Aristida,Aristida,Poaceae,C4
Aristida_congesta,Aristida congesta,Aristida congesta,Poaceae,C4
Aristida_kenyensis,Aristida kenyensis,Aristida kenyensis,Poaceae,C4
Aristida_lumped,Aristida,Aristida,Poaceae,C4
aristida_oligantha,Aristida oligantha,Aristida oligantha,Poaceae,C4
Aristida_purpurea,Aristida purpurea,Aristida purpurea,Poaceae,C4
Aristida_sp,Aristida,Aristida,Poaceae,C4
Aristida_spp_,Aristida,Aristida,Poaceae,C4
Aristida_ternipes,Aristida ternipes,Aristida ternipes,Poaceae,C4
Aristida_wrightii,Aristida wrightii,Aristida wrightii,Poaceae,C4
Aristida.adeonsis,Aristida adoensis,Aristida adoensis,Poaceae,C4
Aristida.adscensionis,Aristida adscensionis,Aristida adscensionis,Poaceae,C4
Aristida.barb,Aristida barbicollis,Aristida barbicollis,Poaceae,C4
Aristida.bipartita,Aristida bipartita,Aristida bipartita,Poaceae,C4
Aristida.congesta,Aristida congesta,Aristida congesta,Poaceae,C4
Aristida.congesta.subsp..barbicollis,Aristida barbicollis,Aristida barbicollis,Poaceae,C4
Aristida.congesta.subsp..Barbicollis,Aristida barbicollis,Aristida barbicollis,Poaceae,C4
Aristida.congestasubsp..congesta,Aristida congesta,Aristida congesta,Poaceae,C4
Aristida.congestasubsp..Congesta,Aristida congesta,Aristida congesta,Poaceae,C4
Aristida.coptica,Aristida,Aristida,Poaceae,C4
Aristida.diffusa,Aristida diffusa,Aristida diffusa,Poaceae,C4
Aristida.divaricata,Aristida divaricata,Aristida divaricata,Poaceae,C4
Aristida.echinulata,Aristida echinulata,Aristida echinulata,Poaceae,C4
Aristida.filifolia,Aristida filifolia,Aristida filifolia,Poaceae,C4
Aristida.holathera,Aristida holathera,Aristida holathera,Poaceae,C4
Aristida.holothera,Aristida holathera,Aristida holathera,Poaceae,C4
Aristida.kenyensis,Aristida kenyensis,Aristida kenyensis,Poaceae,C4
Aristida.kerstingii.Pilger.,Aristida kerstingii,Aristida kerstingii,Poaceae,C4
Aristida.latifolia,Aristida latifolia,Aristida latifolia,Poaceae,C4
Aristida.longiseta,Aristida longiseta,Aristida longiseta,Poaceae,C4
Aristida.murina,Aristida murina,Aristida murina,Poaceae,C4
Aristida.mutabilis.Trin.,Aristida mutabilis,Aristida mutabilis,Poaceae,C4
Aristida.purpurea,Aristida purpurea,Aristida purpurea,Poaceae,C4
Aristida.purpurea.Nutt..var..longiseta..Steud...Vasey,Aristida purpurea,Aristida purpurea,Poaceae,C4
Aristida.sp,Aristida,Aristida,Poaceae,C4
Aristida.sp.,Aristida,Aristida,Poaceae,C4
Aristida.spegazzinii,Aristida spegazzinii,Aristida spegazzinii,Poaceae,C4
Aristida.stipitata,Aristida stipitata,Aristida stipitata,Poaceae,C4
Aristida.uruguayensis,Aristida uruguayensis,Aristida uruguayensis,Poaceae,C4
Aristida.venustula,Aristida venustula,Aristida venustula,Poaceae,C4
Aristolochia.elegans.,Aristolochia littoralis,Aristolochia littoralis,Aristolochiaceae,C3
ARJONA_TUBEROSA,Arjona tuberosa,Arjona tuberosa,Schoepfiaceae,C3
ARLO,,NA,NA,
Armeria.alpina,Armeria alpina,Armeria alpina,Plumbaginaceae,C3
Armeria.maritima.subsp..elongata,Armeria maritima subsp. elongata,Armeria maritima subsp. elongata,Plumbaginaceae,C3
arnebia,Arnebia,Arnebia,Boraginaceae,C3
