"site_code.x","project_name","community_type","mode_yr","site_proj_comm","OID_","site_code.y","Latitude","Longitude","MAP","MAT","GDiv","ANPP","HumanDisturbance","N_Deposition"
"Argentina_S1","0","0",1,"Argentina_S1",138,"Argentina_S1",-41.11,-70.91,472,7,25,NA,18.1813545,114.403801
"Argentina_S10","0","0",1,"Argentina_S10",139,"Argentina_S10",-41.08,-71.03,530,7.9,15,NA,11.2705526,114.403801
"Argentina_S11","0","0",3,"Argentina_S11",140,"Argentina_S11",-41.08,-71.02,530,7.9,18,NA,4.3819437,114.403801
"Argentina_S12","0","0",2,"Argentina_S12",141,"Argentina_S12",-41.11,-70.63,297,7.7,9,NA,4.1701899,114.403801
"Argentina_S13","0","0",1,"Argentina_S13",142,"Argentina_S13",-41.11,-70.62,297,7.4,11,NA,3.9309921,114.403801
"Argentina_S14","0","0",1,"Argentina_S14",143,"Argentina_S14",-41.12,-70.6,297,7.4,11,NA,3.8126574,114.403801
"Argentina_S15","0","0",2,"Argentina_S15",144,"Argentina_S15",-41.12,-70.59,297,7.4,17,NA,11.7591143,114.403801
"Argentina_S16","0","0",2,"Argentina_S16",145,"Argentina_S16",-41.13,-70.58,297,7.5,14,NA,3.7921331,114.403801
"Argentina_S17","0","0",1,"Argentina_S17",146,"Argentina_S17",-41.14,-70.58,297,7.5,16,NA,11.7196608,114.403801
"Argentina_S18","0","0",1,"Argentina_S18",147,"Argentina_S18",-45.41,-70.3,199,9,18,NA,7.6166925,71.6097488
"Argentina_S19","0","0",3,"Argentina_S19",148,"Argentina_S19",-45.39,-70.25,199,9.2,19,NA,4.855525,71.6097488
"Argentina_S2","0","0",1,"Argentina_S2",149,"Argentina_S2",-41.13,-70.89,472,7.4,20,NA,14.3848047,114.403801
"Argentina_S20","0","0",2,"Argentina_S20",150,"Argentina_S20",-45.38,-70.25,199,9.2,15,NA,7.2591062,71.6097488
"Argentina_S21","0","0",1,"Argentina_S21",151,"Argentina_S21",-45.61,-71.42,365,6.3,25,NA,4.3870149,71.6097488
"Argentina_S22","0","0",1,"Argentina_S22",152,"Argentina_S22",-45.58,-71.4,365,6.7,21,NA,10.8925486,71.6097488
"Argentina_S3","0","0",1,"Argentina_S3",153,"Argentina_S3",-41.13,-70.9,472,7.4,18,NA,14.3848047,114.403801
"Argentina_S4","0","0",1,"Argentina_S4",154,"Argentina_S4",-41.11,-71.08,530,7.7,18,NA,19.2529602,114.403801
"Argentina_S5","0","0",1,"Argentina_S5",155,"Argentina_S5",-41.11,-71.08,530,7.7,22,NA,19.2529602,114.403801
"Argentina_S6","0","0",1,"Argentina_S6",156,"Argentina_S6",-41.11,-71.09,530,7.9,17,NA,5.5349588,114.403801
"Argentina_S7","0","0",1,"Argentina_S7",157,"Argentina_S7",-41.11,-71.07,530,7.7,20,NA,10.7519131,114.403801
"Argentina_S8","0","0",4,"Argentina_S8",158,"Argentina_S8",-41.1,-71.04,530,8,13,NA,9.0280418,114.403801
"Argentina_S9","0","0",1,"Argentina_S9",159,"Argentina_S9",-41.1,-71.05,530,7.7,17,NA,16.8963718,114.403801
"Argentina_SUL","0","0",1,"Argentina_SUL",161,"Argentina_SUL",-33.88,-55.56,1341,16.7,59,707,12.8020821,326.5032349
"Argentina_Sierra","0","0",4,"Argentina_Sierra",160,"Argentina_Sierra",-38.05,-61.98,800,12.6,61,500,16.6507816,186.8372498
"BAY","LIND","0",1,"BAY_LIND_0",11,"BAY",49.9166667,11.5833333,643,8.3,49.36916667,647.6666667,24.030653,1475.484863
"BUX","PQ","0",2,"BUX_PQ_0",16,"BUX",53.231747,-1.918228,1198,7.8,57.29926698,380,39.8053436,691.4129028
"Bt","DroughtNet","0",1,"Bt_DroughtNet_0",13,"Bt",49.9219444,11.5788889,643,8.3,68.08918981,288.3306,26.3754444,1475.484863
"Bt","EVENT2","0",1,"Bt_EVENT2_0",14,"Bt",49.9219444,11.5788889,643,8.3,53.50830633,612.476,26.3754444,1475.484863
"Bt","NPKDNet","0",1,"Bt_NPKDNet_0",15,"Bt",49.9219444,11.5788889,643,8.3,87.32201389,176.4062,26.3754444,1475.484863
"Bt","NutNet","0",1,"Bt_NutNet_0",12,"Bt",49.9219444,11.5788889,643,8.3,62.61775463,149.883925,26.3754444,1475.484863
"Buckhorn","0","0",3,"Buckhorn",191,"Buckhorn",38.85,-109.16,272,10.9,29,NA,11.6067238,297.7605896
"CAR","salt marsh","ArthSal",1,"CAR_salt marsh_ArthSal",20,"CAR",34.3973439,-119.5283474,408,16,4.869444444,1415,47.939266,354.2384033
"CAR","salt marsh","DisSal",1,"CAR_salt marsh_DisSal",18,"CAR",34.3973439,-119.5283474,408,16,5.948333333,1415,47.939266,354.2384033
"CAR","salt marsh","HighMar",1,"CAR_salt marsh_HighMar",21,"CAR",34.3973439,-119.5283474,408,16,6.628958333,1415,47.939266,354.2384033
"CAR","salt marsh","JaumSal",1,"CAR_salt marsh_JaumSal",19,"CAR",34.3973439,-119.5283474,408,16,3.9,1415,47.939266,354.2384033
"CAR","salt marsh","MonArth",1,"CAR_salt marsh_MonArth",22,"CAR",34.3973439,-119.5283474,408,16,7.075138889,1415,47.939266,354.2384033
"CAR","salt marsh","SalCus",1,"CAR_salt marsh_SalCus",17,"CAR",34.3973439,-119.5283474,408,16,5.99875,1415,47.939266,354.2384033
"CAU","RMAPC","ALH",1,"CAU_RMAPC_ALH",25,"CAU",43.45,41.68,912,1.3,38.26340278,148.6427083,3.7028646,828.8179932
"CAU","RMAPC","FVG",1,"CAU_RMAPC_FVG",23,"CAU",43.45,41.68,912,1.3,48.76769483,240.0270833,3.7028646,828.8179932
"CAU","RMAPC","GHM",1,"CAU_RMAPC_GHM",26,"CAU",43.45,41.68,912,1.3,30.04855324,300.72875,3.7028646,828.8179932
"CAU","RMAPC","SBC",1,"CAU_RMAPC_SBC",24,"CAU",43.45,41.68,912,1.3,26.88069444,121.2744583,3.7028646,828.8179932
"CDR","BioCON","0",1,"CDR_BioCON_0",33,"CDR",45.4,-93.2,751,6.3,15.19118056,436.5050591,15.4327831,897.5437012
"CDR","e001","A",1,"CDR_e001_A",34,"CDR",45.4,-93.2,751,6.3,57.17301698,478.018218,15.4327831,897.5437012
"CDR","e001","B",1,"CDR_e001_B",31,"CDR",45.4,-93.2,751,6.3,57.47307449,397.1541167,15.4327831,897.5437012
"CDR","e001","C",1,"CDR_e001_C",30,"CDR",45.4,-93.2,751,6.3,65.71340566,493.8024464,15.4327831,897.5437012
"CDR","e001","D",1,"CDR_e001_D",29,"CDR",45.4,-93.2,751,6.3,95.30806599,470.8950808,15.4327831,897.5437012
"CDR","e002","A",1,"CDR_e002_A",27,"CDR",45.4,-93.2,751,6.3,50.80235532,160.2459105,15.4327831,897.5437012
"CDR","e002","B",1,"CDR_e002_B",32,"CDR",45.4,-93.2,751,6.3,55.48483603,191.8895442,15.4327831,897.5437012
"CDR","e002","C",1,"CDR_e002_C",28,"CDR",45.4,-93.2,751,6.3,73.39580629,270.7811833,15.4327831,897.5437012
"CEH","MEGARICH","0",4,"CEH_MEGARICH_0",35,"CEH",53.2833333,-4.566666,871,9.9,27.08465278,779.9651,37.6945419,692.541626
"CHY","EDGE","0",2,"CHY_EDGE_0",36,"CHY",41.181771,-104.897546,384,7,82.71931234,137,18.9289875,469.1299133
"CHY","PHACE","0",2,"CHY_PHACE_0",37,"CHY",41.181771,-104.897546,384,7,51.490215,116.8986003,18.9289875,469.1299133
"CLE","Imagine","0",1,"CLE_Imagine_0",38,"CLE",45.7166667,3.0166667,799,8,12,489.385,29.9681053,1189.038208
"CPER","0","0",1,"CPER",249,"CPER",40.83,-104.72,340,8.4,78,70,10.1608639,469.1299133
