genus_species,species_matched,AccSpeciesID,AccSpeciesName,ObsNum,ObsGRNum,MeasNum,MeasGRNum,TraitNum,match,old
arenaria fendleri,Eremogone fendleri,224309,Eremogone fendleri,164,85,528,357,48,1,Eremogone fendleri
arenaria fendleri,Eremogone fendleri,281416,Arenaria fendleri var. fendleri,1,NA,1,NA,1,1,Eremogone fendleri
artemisia scopulorum,Artemisia scopulorum,65731,Artemisia scopulorum,63,5,218,56,39,1,Artemisia scopulorum
bistorta bistortoides,Bistorta bistortoides,7469,Bistorta bistortoides,105,15,476,177,105,1,Bistorta bistortoides
chionophila jamesii,Chionophila jamesii,78699,Chionophila jamesii,10,3,31,20,19,1,Chionophila jamesii
lewisia pygmaea,Lewisia pygmaea,88402,Lewisia pygmaea,30,5,84,31,32,1,Lewisia pygmaea
luzula spicata,Luzula spicata,34515,Luzula spicata,890,78,2904,186,167,1,Luzula spicata
luzula spicata,Luzula spicata,238936,Luzula spicata subsp. conglomerata,14,14,78,78,9,1,Luzula spicata
luzula spicata,Luzula spicata,238937,Luzula spicata subsp. italica,1,NA,NA,NA,NA,1,Luzula spicata
minuartia obtusiloba,Minuartia obtusiloba,90676,Minuartia obtusiloba,35,2,87,22,21,1,Minuartia obtusiloba
potentilla diversifolia,Potentilla diversifolia,43661,Potentilla diversifolia,33,5,171,31,71,1,Potentilla diversifolia
potentilla diversifolia,Potentilla diversifolia,254561,Potentilla diversifolia var. diversifolia,4,NA,2,NA,1,1,Potentilla diversifolia var. diversifolia
potentilla diversifolia,Potentilla diversifolia,369725,Potentilla diversifolia var. perdissecta,1,NA,1,NA,1,1,Potentilla diversifolia
potentilla diversifolia,Potentilla diversifolia,369726,Potentilla diversifolia var. ranunculus,1,NA,1,NA,1,1,Potentilla diversifolia
ranunculus adoneus,Ranunculus adoneus,45588,Ranunculus adoneus,23,4,81,29,32,1,Ranunculus adoneus
ranunculus adoneus,Ranunculus adoneus,374589,Ranunculus adoneus var. adoneus,1,NA,1,NA,1,1,Ranunculus adoneus
silene acaulis,Silene acaulis,50170,Silene acaulis,1092,189,3295,368,178,1,Silene acaulis
silene acaulis,Silene acaulis,261263,Silene acaulis subsp. bryoides,3,NA,2,NA,2,1,Silene acaulis subsp. bryoides
silene acaulis,Silene acaulis,261264,Silene acaulis var. subacaulescens,2,1,8,7,8,1,Silene acaulis var. subacaulescens
silene acaulis,Silene acaulis,384867,Silene acaulis var. acaulis,1,NA,1,NA,1,1,Silene acaulis
silene acaulis,Silene acaulis,384868,Silene acaulis var. exscapa,1,NA,1,NA,1,1,Silene acaulis var. exscapa
sibbaldia procumbens,Sibbaldia procumbens,50054,Sibbaldia procumbens,1466,370,3894,779,173,1,Sibbaldia procumbens
solidago multiradiata,Solidago multiradiata,50887,Solidago multiradiata,20,4,148,39,62,1,Solidago multiradiata
solidago multiradiata,Solidago multiradiata,263010,Solidago multiradiata var. multiradiata,9,NA,13,NA,4,1,Solidago multiradiata var. multiradiata
solidago multiradiata,Solidago multiradiata,385870,Solidago ciliosa,1,NA,1,NA,1,1,Solidago multiradiata
trisetum spicatum,Trisetum spicatum,55164,Trisetum spicatum,198,16,570,86,136,1,Trisetum spicatum
erigeron simplex,Erigeron grandiflorus,224508,Erigeron grandiflorus,15,3,65,51,37,1,Erigeron grandiflorus
carex rupestris,Carex rupestris,10650,Carex rupestris,302,33,648,90,119,1,Carex rupestris
carex rupestris,Carex rupestris,211838,Carex rupestris var. drummondiana,1,1,11,11,11,1,Carex rupestris
lloydia serotina,Gagea serotina,229171,Gagea serotina,333,80,705,153,129,1,Gagea serotina
lloydia serotina,Gagea serotina,341605,Lloydia serotina var. serotina,1,NA,1,NA,1,1,Gagea serotina
sedum lanceolatum,Sedum lanceolatum,49381,Sedum lanceolatum,47,2,108,22,28,1,Sedum lanceolatum
sedum lanceolatum,Sedum lanceolatum,382608,Sedum lanceolatum subsp. nesioticum,1,NA,1,NA,1,1,Sedum lanceolatum
sedum lanceolatum,Sedum lanceolatum,382609,Sedum lanceolatum subsp. subalpinum,2,NA,2,NA,1,1,Sedum lanceolatum
oreoxis alpina,Cymopterus alpinus,219110,Cymopterus alpinus,60,2,189,29,29,1,Cymopterus alpinus
oreoxis alpina,Cymopterus alpinus,245490,Oreoxis alpina ssp. alpina,2,1,12,11,12,1,Cymopterus alpinus
achillea millefolium,Achillea millefolium,907,Achillea lanulosa,43,30,240,220,41,1,Achillea millefolium
achillea millefolium,Achillea millefolium,909,Achillea millefolium,2877,1085,13326,8339,403,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200527,Achillea millefolium (lanulosa),13,13,13,13,2,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200528,Achillea millefolium subsp. borealis,8,NA,10,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200529,Achillea millefolium subsp. millefolium,42,NA,66,NA,31,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200530,Achillea millefolium subsp. stricta,8,NA,19,NA,10,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200531,Achillea millefolium subsp. sudetica,20,NA,25,NA,13,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200532,Achillea millefolium var. alpicola,1,1,11,11,11,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200533,Achillea millefolium var. millefolium,3,NA,3,NA,2,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272092,Achillea angustissima,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272095,Achillea borealis fo. fusca,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272102,Achillea lanulosa var. eradiata,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272104,Achillea millefolium var. gracilis,1,NA,1,NA,1,1,Achillea millefolium var. gracilis
artemesia frigida,Artemisia austriaca,5168,Artemisia austriaca,277,192,2717,2489,104,1,Artemisia austriaca
betula glandulosa,Betula glandulosa,7335,Betula glandulosa,66,19,281,155,66,1,Betula glandulosa
calamagrostis canadensis,Calamagrostis canadensis,9138,Calamagrostis canadensis,388,319,1465,1209,120,1,Calamagrostis canadensis
castilleja caudata,Castilleja caudata,212161,Castilleja caudata,8,NA,11,NA,4,1,Castilleja caudata
castilleja caudata,Castilleja caudata,294875,Castilleja caudata var. auricoma,1,NA,1,NA,1,1,Castilleja caudata var. auricoma
castilleja caudata,Castilleja caudata,294876,Castilleja caudata var. caudata,1,NA,1,NA,1,1,Castilleja caudata
cornus canadensis,Cornus canadensis,14563,Cornus canadensis,97,51,439,248,93,1,Cornus canadensis
delphinium glaucum,Delphinium glaucum,17158,Delphinium glaucum,18,NA,109,NA,51,1,Delphinium glaucum
empetrum nigrum,Empetrum nigrum,20484,Empetrum nigrum,960,245,2928,1400,306,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223631,Empetrum nigrum ssp. nigrum,2,NA,2,NA,1,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223632,Empetrum nigrum subsp. hermaphroditum,182,80,815,568,105,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223633,Empetrum nigrum subsp. sibiricum,1,NA,1,NA,1,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223634,Empetrum nigrum subsp. subholarcticum,1,1,17,17,14,1,Empetrum nigrum
epilobium angustifolium,Epilobium angustifolium,20801,Epilobium angustifolium,2546,262,7712,1809,270,1,Epilobium angustifolium
epilobium angustifolium,Epilobium angustifolium,213418,Chamerion angustifolium ssp. angustifolium,2,NA,80,NA,42,1,Epilobium angustifolium
epilobium angustifolium,Epilobium angustifolium,213419,Chamerion angustifolium ssp. circumvagum,3,NA,3,NA,1,1,Epilobium angustifolium
epilobium angustifolium,Epilobium angustifolium,213420,Chamerion angustifolium subsp. angustifolium,7,1,15,5,7,1,Epilobium angustifolium
epilobium angustifolium,Epilobium angustifolium,224144,Epilobium angustifolium subsp. circumvagum,17,3,34,9,13,1,Epilobium angustifolium
festuca altaica,Festuca altaica,24130,Festuca altaica,41,10,87,35,21,1,Festuca altaica
gentiana propinqua,Gentianella propinqua,68093,Gentianella propinqua,26,NA,36,NA,7,1,Gentianella propinqua
hedysarum alpinum,Hedysarum alpinum,28026,Hedysarum alpinum,46,3,222,58,87,1,Hedysarum alpinum
hedysarum alpinum,Hedysarum alpinum,68370,Hedysarum americanum,4,NA,8,NA,5,1,Hedysarum alpinum
hedysarum alpinum,Hedysarum alpinum,328429,Hedysarum alpinum subsp. alpinum,1,NA,1,NA,1,1,Hedysarum alpinum
hedysarum alpinum,Hedysarum alpinum,328430,Hedysarum alpinum var. philoscia,1,NA,1,NA,1,1,Hedysarum alpinum
linnaea borealis,Linnaea borealis,33616,Linnaea borealis,443,91,1120,362,183,1,Linnaea borealis
linnaea borealis,Linnaea borealis,340883,Linnaea borealis subsp. longiflora,1,NA,1,NA,1,1,Linnaea borealis subsp. longiflora
linnaea borealis,Linnaea borealis,340884,Linnaea borealis var. americana,2,NA,2,NA,1,1,Linnaea borealis
lupinus arcticus,Lupinus arcticus,34419,Lupinus arcticus,35,3,178,24,58,1,Lupinus arcticus
lupinus arcticus,Lupinus arcticus,342748,Lupinus arcticus subsp. arcticus,7,NA,7,NA,1,1,Lupinus arcticus
lupinus arcticus,Lupinus arcticus,342749,Lupinus arcticus subsp. subalpinus,3,NA,3,NA,1,1,Lupinus arcticus
lupinus arcticus,Lupinus arcticus,342750,Lupinus arcticus var. arcticus,1,NA,1,NA,1,1,Lupinus arcticus
mertensia paniculata,Mertensia paniculata,347779,Mertensia paniculata,12,NA,12,NA,3,1,Mertensia paniculata
mertensia paniculata,Mertensia paniculata,347780,Mertensia paniculata subsp. eastwoodiae,1,NA,1,NA,1,1,Mertensia paniculata
mertensia paniculata,Mertensia paniculata,347781,Mertensia paniculata var. alaskana,2,NA,2,NA,1,1,Mertensia paniculata
mertensia paniculata,Mertensia paniculata,347782,Mertensia paniculata var. borealis,1,NA,1,NA,1,1,Mertensia paniculata
mertensia paniculata,Mertensia paniculata,347783,Mertensia paniculata var. eastwoodiae,1,NA,1,NA,1,1,Mertensia paniculata
moneses uniflora,Moneses uniflora,37120,Moneses uniflora,273,20,726,135,126,1,Moneses uniflora
orthilia secunda,Orthilia secunda,39339,Orthilia secunda,554,84,1377,351,147,1,Orthilia secunda
anenome multifida,Anemone multifida,3688,Anemone multifida,34,NA,123,NA,51,1,Anemone multifida
anenome multifida,Anemone multifida,203063,Anemone multifida var. hudsoniana,2,NA,4,NA,1,1,Anemone multifida
anenome multifida,Anemone multifida,278551,Anemone multifida var. stylosa,2,NA,2,NA,1,1,Anemone multifida
penstemon gormanni,Penstemon gormanii,248603,Penstemon gormanii,5,NA,7,NA,3,1,Penstemon gormanii
picea glauca,Picea glauca,41920,Picea glauca,22377,648,28087,4962,275,1,Picea glauca
polemonium acutiflorum,Polemonium acutiflorum,64758,Polemonium acutiflorum,12,3,116,30,58,1,Polemonium acutiflorum
pyrola grandiflora,Pyrola grandiflora,95150,Pyrola grandiflora,11,2,20,6,9,1,Pyrola grandiflora
pyrola grandiflora,Pyrola grandiflora,373753,Pyrola grandiflora var. canadensis,1,NA,1,NA,1,1,Pyrola grandiflora
pyrola grandiflora,Pyrola grandiflora,373754,Pyrola grandiflora var. gormanii,1,NA,1,NA,1,1,Pyrola grandiflora
senecio lugens,Senecio lugens,260576,Senecio lugens,7,NA,9,NA,3,1,Senecio lugens
sheperdia canadensis,Shepherdia canadensis,49911,Shepherdia canadensis,29,1,193,36,79,1,Shepherdia canadensis
solidago canadensis,Solidago canadensis,50873,Solidago canadensis,2466,1628,14159,11999,265,1,Solidago canadensis
solidago canadensis,Solidago canadensis,262983,Solidago canadensis var. lepida,11,3,19,9,6,1,Solidago canadensis var. lepida
solidago canadensis,Solidago canadensis,262984,Solidago canadensis var. salebrosa,2,NA,2,NA,2,1,Solidago canadensis var. salebrosa
solidago canadensis,Solidago canadensis,385868,Solidago canadensis var. canadensis,1,NA,1,NA,1,1,Solidago canadensis
solidago canadensis,Solidago canadensis,385869,Solidago canadensis var. hargeri,1,NA,1,NA,1,1,Solidago canadensis var. hargeri
anenome parviflora,Anemone parviflora,3694,Anemone parviflora,15,1,53,33,25,1,Anemone parviflora
anenome parviflora,Anemone parviflora,278557,Anemone parviflora var. parviflora,1,NA,1,NA,1,1,Anemone parviflora
arabis hirsuta,Arabis hirsuta,4357,Arabis hirsuta,706,29,1741,200,174,1,Arabis hirsuta
arabis hirsuta,Arabis hirsuta,203976,Arabis hirsuta var. glabrata,16,NA,20,NA,4,1,Arabis hirsuta
arabis hirsuta,Arabis hirsuta,203977,Arabis hirsuta var. hornungiana,1,NA,NA,NA,NA,1,Arabis hirsuta
arabis hirsuta,Arabis hirsuta,203978,Arabis hirsuta var. pycnocarpa,4,NA,6,NA,1,1,Arabis hirsuta
arctostaphylos rubra,Arctous rubra,204251,Arctous rubra,28,2,82,45,31,1,Arctous rubra
arctostaphylos uva-ursi,Arctostaphylos uva-ursi,NA,NA,NA,NA,NA,NA,NA,NA,NA
arnica latifolia,Arnica latifolia,64239,Arnica latifolia,19,2,122,9,58,1,Arnica latifolia
symphyotrichum oblongifolium,Symphyotrichum oblongifolium,98998,Symphyotrichum oblongifolium,97,61,702,572,56,1,Symphyotrichum oblongifolium
physalis pumila,Physalis pumila,41850,Physalis pumila,24,9,74,52,26,1,Physalis pumila
schizachyrium scoparium,Schizachyrium scoparium,48859,Schizachyrium scoparium,679,560,4388,3703,181,1,Schizachyrium scoparium
cornus drummondii,Cornus drummondii,14571,Cornus drummondii,71,34,471,312,87,1,Cornus drummondii
juniperus virginiana,Juniperus virginiana,31598,Juniperus virginiana,216,111,997,618,132,1,Juniperus virginiana
juniperus virginiana,Juniperus virginiana,235674,Juniperus virginiana var. silicicola,28,1,165,4,62,1,Juniperus virginiana
symphyotrichum ericoides,Symphyotrichum ericoides,71835,Symphyotrichum ericoides,445,381,1863,1767,68,1,Symphyotrichum ericoides
symphyotrichum ericoides,Symphyotrichum ericoides,283415,Aster multiflorus,8,2,13,7,6,1,Symphyotrichum ericoides
symphyotrichum ericoides,Symphyotrichum ericoides,390149,Symphyotrichum ericoides var. ericoides,3,NA,3,NA,1,1,Symphyotrichum ericoides
croton monanthogynus,Croton monanthogynus,15563,Croton monanthogynus,76,56,475,437,30,1,Croton monanthogynus
solidago missouriensis,Solidago missouriensis,50885,Solidago missouriensis,228,180,1600,1412,86,1,Solidago missouriensis
panicum virgatum,Panicum virgatum,40121,Panicum virgatum,545,323,3823,2316,197,1,Panicum virgatum
sporobolus compositus,Sporobolus compositus,64897,Sporobolus compositus,171,131,1296,1148,74,1,Sporobolus compositus
andropogon gerardii,Andropogon gerardii,3564,Andropogon gerardi,260,186,1480,1057,57,1,Andropogon gerardii
andropogon gerardii,Andropogon gerardii,3565,Andropogon gerardii,704,518,4540,3916,177,1,Andropogon gerardii
rhus aromatica,Rhus aromatica,46301,Rhus aromatica,45,1,67,7,14,1,Rhus aromatica
rhus aromatica,Rhus aromatica,257315,Rhus aromatica var. serotina,3,NA,85,NA,42,1,Rhus aromatica var. serotina
rhus aromatica,Rhus aromatica,257316,Rhus aromatica var. trilobata,1,NA,1,NA,1,1,Rhus aromatica var. trilobata
rhus aromatica,Rhus aromatica,376171,Rhus aromatica var. arenaria,1,NA,1,NA,1,1,Rhus aromatica var. arenaria
rhus aromatica,Rhus aromatica,376172,Rhus aromatica var. schmidelioides,1,NA,1,NA,1,1,Rhus aromatica
solidago altissima,Solidago altissima,262973,Solidago altissima subsp. altissima,7,NA,97,NA,47,1,Solidago altissima subsp. altissima
solidago altissima,Solidago altissima,262974,Solidago altissima subsp. gilvocanescens,13,NA,21,NA,5,1,Solidago altissima subsp. gilvocanescens
linum sulcatum,Linum sulcatum,33658,Linum sulcatum,78,57,544,503,33,1,Linum sulcatum
linum sulcatum,Linum sulcatum,340941,Linum sulcatum var. harperi,2,NA,2,NA,1,1,Linum sulcatum
solanum carolinense,Solanum carolinense,50655,Solanum carolinense,42,7,166,44,47,1,Solanum carolinense
solanum carolinense,Solanum carolinense,385709,Solanum carolinense var. floridanum,1,NA,1,NA,1,1,Solanum carolinense var. floridanum
sorghastrum nutans,Sorghastrum nutans,51135,Sorghastrum nutans,564,414,4133,3163,148,1,Sorghastrum nutans
bouteloua curtipendula,Bouteloua curtipendula,7905,Bouteloua curtipendula,267,144,1540,1036,146,1,Bouteloua curtipendula
bouteloua curtipendula,Bouteloua curtipendula,288037,Bouteloua curtipendula var. caespitosa,1,NA,1,NA,1,1,Bouteloua curtipendula var. caespitosa
rosa arkansana,Rosa arkansana,46720,Rosa arkansana,68,28,275,192,67,1,Rosa arkansana
rosa arkansana,Rosa arkansana,257868,Rosa arkansana var. suffulta,22,NA,36,NA,11,1,Rosa arkansana var. suffulta
ambrosia psilostachya,Ambrosia psilostachya,3168,Ambrosia psilostachya,496,325,2842,2261,141,1,Ambrosia psilostachya
dichanthelium oligosanthes,Panicum oligosanthes,40050,Panicum oligosanthes,409,342,2694,2475,65,1,Panicum oligosanthes
asclepias verticillata,Asclepias verticillata,5514,Asclepias verticillata,174,139,1205,1078,78,1,Asclepias verticillata
rubus occidentalis,Rubus occidentalis,47237,Rubus occidentalis,106,69,612,446,88,1,Rubus occidentalis
rubus occidentalis,Rubus occidentalis,258296,Rubus occidentalis var. leucodermis,28,4,148,30,69,1,Rubus occidentalis var. leucodermis
trifolium repens,Trifolium repens,54998,Trifolium repens,5195,524,19299,3940,380,1,Trifolium repens
trifolium repens,Trifolium repens,267824,Trifolium repens fo. repens,40,31,177,168,17,1,Trifolium repens
trifolium repens,Trifolium repens,267825,Trifolium repens subsp. occidentale,5,NA,1,NA,1,1,Trifolium repens subsp. occidentale
trifolium repens,Trifolium repens,267826,Trifolium repens subsp. prostratum,99,NA,111,NA,46,1,Trifolium repens
trifolium repens,Trifolium repens,267827,Trifolium repens var. repens,11,4,46,20,25,1,Trifolium repens
apocynum cannabinum,Apocynum cannabinum,4237,Apocynum cannabinum,147,65,825,511,103,1,Apocynum cannabinum
euphorbia nutans,Euphorbia nutans,23519,Euphorbia nutans,166,59,680,468,93,1,Euphorbia nutans
acalypha virginica,Acalypha virginica,750,Acalypha virginica,46,20,220,102,66,1,Acalypha virginica
acalypha virginica,Acalypha virginica,200354,Acalypha virginica var. deamii,3,NA,5,NA,1,1,Acalypha virginica
acalypha virginica,Acalypha virginica,200355,Acalypha virginica var. rhomboidea,19,1,41,18,23,1,Acalypha virginica
pediomelum tenuiflorum,Pediomelum tenuiflorum,360874,Pediomelum tenuiflorum,53,51,423,412,13,1,Pediomelum tenuiflorum
asclepias viridis,Asclepias viridis,5517,Asclepias viridis,119,90,935,826,76,1,Asclepias viridis
oenothera villosa,Oenothera villosa,38776,Oenothera villosa,28,NA,32,NA,12,1,Oenothera villosa
oenothera villosa,Oenothera villosa,244957,Oenothera villosa subsp. strigosa,8,NA,9,NA,3,1,Oenothera villosa
cirsium altissimum,Cirsium altissimum,13014,Cirsium altissimum,37,6,178,36,40,1,Cirsium altissimum
asclepias tuberosa,Asclepias tuberosa,5513,Asclepias tuberosa,285,215,1651,1355,133,1,Asclepias tuberosa
asclepias tuberosa,Asclepias tuberosa,282671,Asclepias tuberosa subsp. interior,1,NA,1,NA,1,1,Asclepias tuberosa
oxalis dillenii,Oxalis dillenii,39581,Oxalis dillenii,165,51,622,259,89,1,Oxalis dillenii
toxicodendron radicans,Toxicodendron radicans,54547,Toxicodendron radicans,128,35,270,130,50,1,Toxicodendron radicans
toxicodendron radicans,Toxicodendron radicans,267391,Toxicodendron radicans subsp. rydbergii,2,NA,2,NA,2,1,Toxicodendron radicans
toxicodendron radicans,Toxicodendron radicans,395143,Toxicodendron radicans subsp. eximum,1,NA,1,NA,1,1,Toxicodendron radicans
toxicodendron radicans,Toxicodendron radicans,395144,Toxicodendron radicans subsp. verrucosum,1,NA,1,NA,1,1,Toxicodendron radicans
toxicodendron radicans,Toxicodendron radicans,395145,Toxicodendron radicans var. divaricatum,1,NA,1,NA,1,1,Toxicodendron radicans var. divaricatum
toxicodendron radicans,Toxicodendron radicans,395146,Toxicodendron radicans var. negundo,1,NA,1,NA,1,1,Toxicodendron radicans
toxicodendron radicans,Toxicodendron radicans,395147,Toxicodendron radicans var. pubens,1,NA,1,NA,1,1,Toxicodendron radicans
ageratina altissima,Ageratina altissima,1723,Ageratina altissima,108,42,471,309,67,1,Ageratina altissima
ageratina altissima,Ageratina altissima,201658,Ageratina altissima var. altissima,7,1,12,6,7,1,Ageratina altissima
ageratina altissima,Ageratina altissima,274320,Ageratina altissima var. roanensis,1,NA,1,NA,1,1,Ageratina altissima
ruellia humilis,Ruellia humilis,47434,Ruellia humilis,102,67,887,574,103,1,Ruellia humilis
artemisia ludoviciana,Artemisia ludoviciana,5208,Artemisia ludoviciana,183,106,1064,692,111,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,204627,Artemisia ludoviciana subsp. incompta,13,NA,19,NA,6,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,204628,Artemisia ludoviciana subsp. ludoviciana,6,NA,6,NA,2,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,282217,Artemisia ludoviciana subsp. candicans,2,NA,2,NA,1,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,282218,Artemisia ludoviciana subsp. estesii,1,NA,1,NA,1,1,Artemisia ludoviciana subsp. estesii
artemisia ludoviciana,Artemisia ludoviciana,282219,Artemisia ludoviciana subsp. mexicana,2,NA,2,NA,1,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,282220,Artemisia ludoviciana subsp. redolens,2,NA,2,NA,1,1,Artemisia ludoviciana
artemisia ludoviciana,Artemisia ludoviciana,282221,Artemisia ludoviciana subsp. sulcata,2,NA,2,NA,1,1,Artemisia ludoviciana
ambrosia artemisiifolia,Ambrosia artemisiifolia,3157,Ambrosia artemisiifolia,480,177,1912,1205,176,1,Ambrosia artemisiifolia
ambrosia artemisiifolia,Ambrosia artemisiifolia,277315,Ambrosia artemisiifolia var. artemisiifolia,1,NA,1,NA,1,1,Ambrosia artemisiifolia
brickellia eupatorioides,Brickellia eupatorioides,8309,Brickellia eupatorioides,110,60,639,564,46,1,Brickellia eupatorioides
brickellia eupatorioides,Brickellia eupatorioides,288649,Brickellia eupatorioides var. chlorolepis,2,NA,2,NA,1,1,Brickellia eupatorioides var. chlorolepis
brickellia eupatorioides,Brickellia eupatorioides,288650,Brickellia eupatorioides var. corymbulosa,2,NA,2,NA,1,1,Brickellia eupatorioides var. corymbulosa
brickellia eupatorioides,Brickellia eupatorioides,288651,Brickellia eupatorioides var. eupatorioides,12,1,17,5,6,1,Brickellia eupatorioides var. eupatorioides
brickellia eupatorioides,Brickellia eupatorioides,288652,Brickellia eupatorioides var. floridana,1,NA,1,NA,1,1,Brickellia eupatorioides var. floridana
brickellia eupatorioides,Brickellia eupatorioides,288653,Brickellia eupatorioides var. gracillima,1,NA,1,NA,1,1,Brickellia eupatorioides var. gracillima
brickellia eupatorioides,Brickellia eupatorioides,288654,Brickellia eupatorioides var. texana,1,NA,1,NA,1,1,Brickellia eupatorioides var. texana
asclepias viridiflora,Asclepias viridiflora,5516,Asclepias viridiflora,93,58,627,563,44,1,Asclepias viridiflora
conyza canadensis,Erigeron canadensis,21638,Erigeron canadensis,1288,224,3456,1381,254,1,Erigeron canadensis
conyza canadensis,Erigeron canadensis,301570,Conyza cadensis,1,1,7,7,6,1,Erigeron canadensis
digitaria cognata,Digitaria cognata,17922,Digitaria cognata,34,6,87,38,31,1,Digitaria cognata
digitaria cognata,Digitaria cognata,32929,Leptoloma cognatum,19,9,53,24,29,1,Digitaria cognata
oxalis stricta,Oxalis stricta,39598,Oxalis stricta,842,261,2695,1708,182,1,Oxalis stricta
oxalis stricta,Oxalis stricta,357690,Oxalis stricta var. rufa,1,NA,1,NA,1,1,Oxalis stricta
bothriochloa bladhii,Bothriochloa bladhii,7825,Bothriochloa bladhii,88,18,332,130,72,1,Bothriochloa bladhii
hackelia virginiana,Hackelia virginiana,27544,Hackelia virginiana,19,5,46,22,20,1,Hackelia virginiana
monarda fistulosa,Monarda fistulosa,37102,Monarda fistulosa,388,314,2029,1619,134,1,Monarda fistulosa
monarda fistulosa,Monarda fistulosa,242641,Monarda fistulosa var. menthifolia,13,NA,21,NA,6,1,Monarda fistulosa
monarda fistulosa,Monarda fistulosa,242642,Monarda fistulosa var. mollis,2,NA,4,NA,1,1,Monarda fistulosa
monarda fistulosa,Monarda fistulosa,350227,Monarda fistulosa var. brevis,1,NA,1,NA,1,1,Monarda fistulosa var. brevis
chamaecrista fasciculata,Chamaecrista fasciculata,10955,Cassia fasciculata,31,1,59,7,12,1,Chamaecrista fasciculata
chamaecrista fasciculata,Chamaecrista fasciculata,11971,Chamaecrista fasciculata,206,150,957,688,115,1,Chamaecrista fasciculata
chamaecrista fasciculata,Chamaecrista fasciculata,296520,Chamaecrista fasciculata var. fasciculata,1,NA,1,NA,1,1,Chamaecrista fasciculata
chamaecrista fasciculata,Chamaecrista fasciculata,296521,Chamaecrista fasciculata var. macrosperma,1,NA,1,NA,1,1,Chamaecrista fasciculata var. macrosperma
physalis heterophylla,Physalis heterophylla,41840,Physalis heterophylla,31,7,83,52,37,1,Physalis heterophylla
physalis heterophylla,Physalis heterophylla,365065,Physalis heterophylla var. rowellii,1,NA,1,NA,1,1,Physalis heterophylla var. rowellii
eragrostis spectabilis,Eragrostis spectabilis,21327,Eragrostis spectabilis,167,118,826,608,93,1,Eragrostis spectabilis
oenothera speciosa,Oenothera speciosa,38766,Oenothera speciosa,27,10,89,65,23,1,Oenothera speciosa
dalea multiflora,Dalea multiflora,16830,Dalea multiflora,18,4,39,18,18,1,Dalea multiflora
parietaria pensylvanica,Parietaria pensylvanica,40308,Parietaria pensylvanica,86,4,186,22,88,1,Parietaria pensylvanica
ulmus americana,Ulmus americana,55440,Ulmus americana,624,340,4158,3082,188,1,Ulmus americana
ulmus americana,Ulmus americana,397308,Ulmus americana.,16,16,336,336,21,1,Ulmus americana
helianthus pauciflorus,Helianthus pauciflorus,68387,Helianthus pauciflorus,35,7,87,50,43,1,Helianthus pauciflorus
helianthus pauciflorus,Helianthus pauciflorus,232856,Helianthus pauciflorus subsp. subrhomboideus,8,NA,8,NA,2,1,Helianthus pauciflorus
helianthus pauciflorus,Helianthus pauciflorus,328540,Helianthus pauciflorus subsp. pauciflorus,1,NA,1,NA,1,1,Helianthus pauciflorus
dalea candida,Dalea candida,16817,Dalea candida,160,107,1053,837,70,1,Dalea candida
dalea candida,Dalea candida,219667,Dalea candida var. candida,2,NA,83,NA,42,1,Dalea candida
dalea candida,Dalea candida,219668,Dalea candida var. oligophylla,12,NA,16,NA,3,1,Dalea candida
kummerowia stipulacea,Kummerowia stipulacea,32039,Kummerowia stipulacea,44,4,163,18,61,1,Kummerowia stipulacea
gleditsia triacanthos,Gleditsia triacanthos,26351,Gleditsia triacanthos,242,27,721,227,162,1,Gleditsia triacanthos
gleditsia triacanthos,Gleditsia triacanthos,231117,Gleditsia triacanthos fo. inermis,2,2,11,11,9,1,Gleditsia triacanthos
gleditsia triacanthos,Gleditsia triacanthos,231118,Gleditsia triacanthos var. inermis,7,NA,7,NA,1,1,Gleditsia triacanthos
solidago rigida,Solidago rigida,50893,Solidago rigida,320,170,1669,1316,86,1,Solidago rigida
solidago rigida,Solidago rigida,263020,Solidago rigida subsp. rigida,4,NA,87,NA,43,1,Solidago rigida subsp. rigida
solidago rigida,Solidago rigida,355261,Oligoneuron rigidum var. humile,1,NA,1,NA,1,1,Solidago rigida
