"year","exp_unit","richness","Evar"
2017,"ahth.is::3::21::Control::2017",13,0.218049240439528
2018,"ahth.is::3::21::Control::2018",19,0.214056174111291
2019,"ahth.is::3::21::Control::2019",21,0.122666437433981
2016,"ahth.is::3::22::Fence::2016",10,0.150223611973424
2017,"ahth.is::3::22::Fence::2017",14,0.125429529277735
2018,"ahth.is::3::22::Fence::2018",12,0.14714858958583
2019,"ahth.is::3::22::Fence::2019",15,0.138840680065861
2016,"ahth.is::3::23::NPK::2016",15,0.239302281877673
2017,"ahth.is::3::23::NPK::2017",12,0.545914933815624
2018,"ahth.is::3::23::NPK::2018",18,0.208797361969008
2019,"ahth.is::3::23::NPK::2019",20,0.215818104810309
2016,"ahth.is::3::24::NPK+Fence::2016",15,0.256648868651799
2017,"ahth.is::3::24::NPK+Fence::2017",6,0.130626318152168
2018,"ahth.is::3::24::NPK+Fence::2018",10,0.100324406218137
2019,"ahth.is::3::24::NPK+Fence::2019",9,0.10381346365865
2016,"ahth.is::3::25::N::2016",13,0.112199641388266
2017,"ahth.is::3::25::N::2017",10,0.222282406397009
2018,"ahth.is::3::25::N::2018",13,0.301822531709923
2019,"ahth.is::3::25::N::2019",14,0.10699175731881
2016,"ahth.is::3::26::P::2016",13,0.205806488559049
2017,"ahth.is::3::26::P::2017",11,0.140913490569
2018,"ahth.is::3::26::P::2018",14,0.238653598777953
2019,"ahth.is::3::26::P::2019",15,0.150727486964926
2016,"ahth.is::3::27::K::2016",13,0.229195393663828
2017,"ahth.is::3::27::K::2017",14,0.166937509955738
2018,"ahth.is::3::27::K::2018",18,0.19915530368441
2019,"ahth.is::3::27::K::2019",20,0.148460975599016
2016,"ahth.is::3::28::NP::2016",16,0.195181762367271
2017,"ahth.is::3::28::NP::2017",15,0.193633846870349
2018,"ahth.is::3::28::NP::2018",15,0.62441602649745
2019,"ahth.is::3::28::NP::2019",18,0.162348981980744
2016,"ahth.is::3::29::NK::2016",13,0.179337668477215
2017,"ahth.is::3::29::NK::2017",13,0.171858082482543
2018,"ahth.is::3::29::NK::2018",19,0.297727193393878
2019,"ahth.is::3::29::NK::2019",18,0.143950133035547
2016,"ahth.is::3::30::PK::2016",11,0.108319853095154
2017,"ahth.is::3::30::PK::2017",13,0.257999169472836
2018,"ahth.is::3::30::PK::2018",15,0.252581720642567
2019,"ahth.is::3::30::PK::2019",20,0.149539291450896
2021,"ains_dn.uk::1::1::Control::2021",13,0.405055356340784
2022,"ains_dn.uk::1::1::Control::2022",13,0.420572696232127
2021,"ains_dn.uk::1::3::Control::2021",12,0.428984662022188
2022,"ains_dn.uk::1::3::Control::2022",11,0.144616786523864
2021,"ains_dn.uk::1::6::Control::2021",11,0.218072446190657
2022,"ains_dn.uk::1::6::Control::2022",11,0.329511538665358
2021,"ains_dn.uk::2::11::Control::2021",11,0.274199858615116
2022,"ains_dn.uk::2::11::Control::2022",11,0.249356881936594
