"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"GOMPHOCARPUS FRUTICOSUS","GOMPHOCARPUS","","fruticosus",NA,NA,"","","kew-2828789",TRUE,"1.1","Accepted","Apocynaceae","Gomphocarpus","","fruticosus","","","(L.) W.T.Aiton","kew-2828789","Accepted",FALSE,FALSE,FALSE,2024-07-10
"THEMEDA TRIANDRA","THEMEDA","","triandra",NA,NA,"","","kew-446468",TRUE,"1.1","Accepted","Poaceae","Themeda","","triandra","","","Forssk.","kew-446468","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SPOROBOLUS CREBER","SPOROBOLUS","","creber",NA,NA,"","","kew-444133",TRUE,"1.1","Accepted","Poaceae","Sporobolus","","creber","","","De Nardi","kew-444133","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PIONANDRA ELLIPTICA","PIONANDRA","","elliptica",NA,NA,"","","kew-2552024",TRUE,"1.1","Unresolved","Solanaceae","Pionandra","","elliptica","","","Miers","kew-2552024","Unresolved",FALSE,FALSE,FALSE,2024-07-10
"JUNCUS EFFUSUS","JUNCUS","","effusus",NA,NA,"","","kew-314902",TRUE,"1.1","Accepted","Juncaceae","Juncus","","effusus","","","L.","kew-314902","Accepted",FALSE,FALSE,FALSE,2024-07-10
"FIMBRISTYLIS DICHOTOMA","FIMBRISTYLIS","","dichotoma",NA,NA,"","","kew-245437",TRUE,"1.1","Accepted","Cyperaceae","Fimbristylis","","dichotoma","","","(L.) Vahl","kew-245437","Accepted",FALSE,FALSE,FALSE,2024-07-10
"WAHLENBERGIA GRACILIS","WAHLENBERGIA","","gracilis",NA,NA,"","","kew-357515",TRUE,"1.1","Accepted","Campanulaceae","Wahlenbergia","","gracilis","","","(G.Forst.) A.DC.","kew-357515","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ARISTIDA PERSONATA","ARISTIDA","","personata",NA,NA,"","","kew-394992",TRUE,"1.1","Accepted","Poaceae","Aristida","","personata","","","Henrard","kew-394992","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CHRYSOCEPHALUM APICULATUM","CHRYSOCEPHALUM","","apiculatum",NA,NA,"","","gcc-105622",TRUE,"1.1","Accepted","Compositae","Chrysocephalum","","apiculatum","","","(Labill.) Steetz","gcc-105622","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ENTEROPOGON ACICULARIS","ENTEROPOGON","","acicularis",NA,NA,"","","kew-412027",TRUE,"1.1","Accepted","Poaceae","Enteropogon","","acicularis","","","(Lindl.) Lazarides","kew-412027","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ERAGROSTIS CURVULA","ERAGROSTIS","","curvula",NA,NA,"","","kew-412439",TRUE,"1.1","Accepted","Poaceae","Eragrostis","","curvula","","","(Schrad.) Nees","kew-412439","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ERAGROSTIS SORORIA","ERAGROSTIS","","sororia",NA,NA,"","","kew-413212",TRUE,"1.1","Accepted","Poaceae","Eragrostis","","sororia","","","Domin","kew-413212","Accepted",FALSE,FALSE,FALSE,2024-07-10
"GLANDULARIA ARISTIGERA","GLANDULARIA","","aristigera",NA,NA,"","","kew-89918",TRUE,"1.1","Accepted","Verbenaceae","Glandularia","","aristigera","","","(S.Moore) Tronc.","kew-89918","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PANICUM EFFUSUM","PANICUM","","effusum",NA,NA,"","","kew-428175",TRUE,"1.1","Accepted","Poaceae","Panicum","","effusum","","","R.Br.","kew-428175","Accepted",FALSE,FALSE,FALSE,2024-07-10
