"year","exp_unit","richness","Evar"
"2016","ahth.is::3::NPK+Fence",15,0.256648868651799
"2017","ahth.is::3::NPK+Fence",6,0.130626318152168
"2018","ahth.is::3::NPK+Fence",10,0.100324406218137
"2019","ahth.is::3::NPK+Fence",9,0.10381346365865
"2016","ahth.is::3::P",13,0.205806488559049
"2017","ahth.is::3::P",11,0.140913490569
"2018","ahth.is::3::P",14,0.238653598777953
"2019","ahth.is::3::P",15,0.150727486964926
"2016","ahth.is::3::PK",11,0.108319853095154
"2017","ahth.is::3::PK",13,0.257999169472836
"2018","ahth.is::3::PK",15,0.252581720642567
"2019","ahth.is::3::PK",20,0.149539291450896
"2021","ains_dn.uk::1::Control",17,0.249711681340006
"2022","ains_dn.uk::1::Control",16,0.227620355294882
"2021","ains_dn.uk::2::Control",21,0.298659390524973
"2022","ains_dn.uk::2::Control",22,0.133693833444217
"2021","ains_dn.uk::3::Control",17,0.230073037075152
"2022","ains_dn.uk::3::Control",19,0.160657788571809
"2022","aish.ca::1::Control",33,0.268552093192728
"2007","amcamp.us::1::Control",25,0.168252380798636
"2007","amcamp.us::2::Control",25,0.128910502089835
"2007","amcamp.us::3::Control",21,0.298379108215801
"2016","amlr.is::1::Control",8,0.456643057730975
"2017","amlr.is::1::Control",6,0.185992706629452
"2018","amlr.is::1::Control",8,0.403693907061681
"2019","amlr.is::1::Control",11,0.593735057024272
"2016","amlr.is::1::Fence",6,0.536381027393928
"2017","amlr.is::1::Fence",7,0.338777648977527
"2018","amlr.is::1::Fence",9,0.426476981466565
"2019","amlr.is::1::Fence",11,0.479715791369
"2016","amlr.is::1::K",9,0.559135366460546
"2017","amlr.is::1::K",9,0.809671972088248
"2018","amlr.is::1::K",11,0.32070794290277
"2019","amlr.is::1::K",10,0.46587362626074
"2016","amlr.is::1::N",6,0.276649833615637
"2017","amlr.is::1::N",8,0.32972317596631
"2018","amlr.is::1::N",12,0.446973965600066
"2019","amlr.is::1::N",13,0.352134305053576
"2016","amlr.is::1::NK",5,0.274439608355223
"2017","amlr.is::1::NK",9,0.58094293957955
"2018","amlr.is::1::NK",13,0.319878801355138
"2019","amlr.is::1::NK",11,0.156344104180623
"2016","amlr.is::1::NP",4,0.158646568373565
"2017","amlr.is::1::NP",7,0.164215654160949
"2018","amlr.is::1::NP",8,0.194043835557593
"2019","amlr.is::1::NP",11,0.194759700442807
"2016","amlr.is::1::NPK",9,0.56402253127168
"2017","amlr.is::1::NPK",10,0.205915729139048
"2018","amlr.is::1::NPK",11,0.177427731899244
"2019","amlr.is::1::NPK",17,0.19014616230829
"2016","amlr.is::1::NPK+Fence",10,0.274829687229897
"2017","amlr.is::1::NPK+Fence",8,0.192272617587025
"2018","amlr.is::1::NPK+Fence",8,0.268809573534268
"2019","amlr.is::1::NPK+Fence",13,0.134426427588408
"2016","amlr.is::1::P",3,0.219034472912179
"2017","amlr.is::1::P",7,0.160501498990383
"2018","amlr.is::1::P",10,0.23705167899384
"2019","amlr.is::1::P",11,0.335119719635171
"2016","amlr.is::1::PK",5,0.221209538212554
"2017","amlr.is::1::PK",6,0.550365119549199
"2018","amlr.is::1::PK",10,0.274829687229897
"2019","amlr.is::1::PK",9,0.309397579751791
"2016","amlr.is::2::Control",5,0.431101554841823
"2017","amlr.is::2::Control",8,0.206891550832255
"2018","amlr.is::2::Control",8,0.255604650455319
"2019","amlr.is::2::Control",14,0.468649646684149
"2016","amlr.is::2::Fence",9,0.240378539615208
"2017","amlr.is::2::Fence",8,0.593184929110206
"2018","amlr.is::2::Fence",9,0.317364215545047
"2019","amlr.is::2::Fence",10,0.288598059536385
"2016","amlr.is::2::K",7,0.306011394462804
"2017","amlr.is::2::K",7,0.591978329212213
"2018","amlr.is::2::K",7,0.808931117844049
"2019","amlr.is::2::K",11,0.377068391247737
"2016","amlr.is::2::N",4,0.367281333625256
"2017","amlr.is::2::N",9,0.337907888119999
"2018","amlr.is::2::N",8,0.427117563132494
"2019","amlr.is::2::N",14,0.487819455183723
"2016","amlr.is::2::NK",3,0.294081755059901
"2017","amlr.is::2::NK",5,0.683964445409196
"2018","amlr.is::2::NK",11,0.289562336698078
"2019","amlr.is::2::NK",11,0.167046445418914
"2016","amlr.is::2::NP",5,0.309838703189878
"2017","amlr.is::2::NP",9,0.202854553018281
"2018","amlr.is::2::NP",9,0.149140487297849
"2019","amlr.is::2::NP",9,0.102311505718374
"2016","amlr.is::2::NPK",4,0.16487121219276
"2017","amlr.is::2::NPK",6,0.275473810959714
"2018","amlr.is::2::NPK",7,0.198260514257474
"2019","amlr.is::2::NPK",10,0.111386966594799
"2016","amlr.is::2::NPK+Fence",8,0.325047524696941
"2017","amlr.is::2::NPK+Fence",9,0.300170762083584
"2018","amlr.is::2::NPK+Fence",10,0.390602580667088
"2019","amlr.is::2::NPK+Fence",12,0.158223407578306
"2016","amlr.is::2::P",9,0.415282120189007
"2017","amlr.is::2::P",10,0.366860140312208
"2018","amlr.is::2::P",9,0.906549936183674
"2019","amlr.is::2::P",11,0.574852527861582
"2016","amlr.is::2::PK",7,0.417802056876755
"2017","amlr.is::2::PK",8,0.293787798548473
"2018","amlr.is::2::PK",9,0.336945205570925
"2019","amlr.is::2::PK",13,0.615411454040991
"2016","amlr.is::3::Control",4,0.266923225122224
"2017","amlr.is::3::Control",7,0.180128032402339
"2018","amlr.is::3::Control",7,0.217425454977105
"2019","amlr.is::3::Control",12,0.399469326094054
"2016","amlr.is::3::Fence",5,0.437378647382309
"2017","amlr.is::3::Fence",5,0.694703582050559
"2018","amlr.is::3::Fence",6,0.88059728347059
"2019","amlr.is::3::Fence",9,0.248227177224588
"2016","amlr.is::3::K",7,0.364259387393487
"2017","amlr.is::3::K",7,0.357313096152074
"2018","amlr.is::3::K",6,0.923898109345373
"2019","amlr.is::3::K",10,0.552132611574082
"2016","amlr.is::3::N",3,0.870814574607088
"2017","amlr.is::3::N",6,0.165576728475524
"2018","amlr.is::3::N",7,0.219934969768275
"2019","amlr.is::3::N",9,0.255502421276511
"2016","amlr.is::3::NK",3,0.317851045715549
"2017","amlr.is::3::NK",7,0.353325418063265
"2018","amlr.is::3::NK",8,0.357559446090636
"2019","amlr.is::3::NK",10,0.188912094995503
"2016","amlr.is::3::NP",5,0.354777926561453
"2017","amlr.is::3::NP",6,0.15551203169167
"2018","amlr.is::3::NP",7,0.316777904360867
"2019","amlr.is::3::NP",10,0.131219982804082
"2016","amlr.is::3::NPK",11,0.275059780838282
"2017","amlr.is::3::NPK",9,0.201516268629722
"2018","amlr.is::3::NPK",12,0.21326901230387
"2019","amlr.is::3::NPK",16,0.150953836779522
"2016","amlr.is::3::NPK+Fence",10,0.321371171711376
"2017","amlr.is::3::NPK+Fence",13,0.239336454473873
"2018","amlr.is::3::NPK+Fence",11,0.309751600151764
"2019","amlr.is::3::NPK+Fence",13,0.113464588456769
"2016","amlr.is::3::P",4,0.305291544254977
"2017","amlr.is::3::P",7,0.214832973761075
"2018","amlr.is::3::P",7,0.21870191604684
"2019","amlr.is::3::P",9,0.207884032591499
"2016","amlr.is::3::PK",5,1
"2017","amlr.is::3::PK",10,0.182726750210899
"2018","amlr.is::3::PK",11,0.815016898251333
"2019","amlr.is::3::PK",12,0.352066462337343
"2013","anti.ec::1::Control",46,0.183147674750813
"2013","anti.ec::2::Control",42,0.17448855430375
"2013","anti.ec::3::Control",40,0.158082763154809
"2013","anti.ec::4::Control",26,0.204250314656943
"2013","anti.ec::5::Control",33,0.180422444527032
"2015","arch.us::1::Control",28,0.190135686081855
"2016","arch.us::1::Control",10,0.494650670742005
"2017","arch.us::1::Control",7,0.311951154638488
"2018","arch.us::1::Control",9,0.311600930041601
"2019","arch.us::1::Control",6,0.238586662931665
"2020","arch.us::1::Control",6,0.235632302182168
"2021","arch.us::1::Control",5,0.271959189235064
"2022","arch.us::1::Control",5,0.227561256868313
"2016","arch.us::1::Fence",9,0.59280686810106
"2017","arch.us::1::Fence",8,0.341529138456158
"2018","arch.us::1::Fence",9,0.303913102550455
"2019","arch.us::1::Fence",6,0.516688667906162
"2020","arch.us::1::Fence",7,0.256856587716205
"2021","arch.us::1::Fence",7,0.344267071997484
"2022","arch.us::1::Fence",8,0.243184035953563
"2016","arch.us::1::K",11,0.347912459396991
"2017","arch.us::1::K",9,0.230446108443529
"2018","arch.us::1::K",6,0.290834036812281
"2019","arch.us::1::K",4,0.292446823001934
"2020","arch.us::1::K",8,0.307573966460802
"2021","arch.us::1::K",9,0.312301316175051
"2022","arch.us::1::K",7,0.272776669913886
"2016","arch.us::1::N",12,0.444028131123331
"2017","arch.us::1::N",8,0.390222845633432
"2018","arch.us::1::N",6,0.472416661853706
"2019","arch.us::1::N",6,0.389486540025753
"2020","arch.us::1::N",8,0.287115982045572
"2021","arch.us::1::N",6,0.248442783094548
"2022","arch.us::1::N",5,0.285876119541038
"2016","arch.us::1::NK",8,0.657885774995637
"2017","arch.us::1::NK",7,0.403383151808178
"2018","arch.us::1::NK",7,0.221703428209095
"2019","arch.us::1::NK",5,0.228730360361133
"2020","arch.us::1::NK",5,0.332141996949046
"2021","arch.us::1::NK",4,0.381043831366024
"2022","arch.us::1::NK",3,0.237092306771985
"2016","arch.us::1::NP",14,0.341902950696199
"2017","arch.us::1::NP",10,0.367286834465083
"2018","arch.us::1::NP",11,0.481752615605038
"2019","arch.us::1::NP",10,0.597364373505221
"2020","arch.us::1::NP",12,0.405605439730448
"2021","arch.us::1::NP",10,0.317739672455749
"2022","arch.us::1::NP",8,0.368551905216045
"2016","arch.us::1::NPK",14,0.31415468550835
"2017","arch.us::1::NPK",7,0.351902330989155
"2018","arch.us::1::NPK",7,0.349628747398748
"2019","arch.us::1::NPK",7,0.346365340516774
"2020","arch.us::1::NPK",9,0.354318520043804
"2021","arch.us::1::NPK",8,0.29358845613802
"2022","arch.us::1::NPK",7,0.299722601995381
"2016","arch.us::1::NPK+Fence",8,0.296708319311176
"2017","arch.us::1::NPK+Fence",8,0.376945575470581
"2018","arch.us::1::NPK+Fence",10,0.274216352993479
"2019","arch.us::1::NPK+Fence",9,0.190955238393838
"2020","arch.us::1::NPK+Fence",6,0.269581567563814
"2021","arch.us::1::NPK+Fence",4,0.288123693070233
"2022","arch.us::1::NPK+Fence",6,0.338940109310661
"2016","arch.us::1::P",14,0.373898463869268
"2017","arch.us::1::P",10,0.436971235896323
"2018","arch.us::1::P",9,0.324788970216925
"2019","arch.us::1::P",6,0.501033672704889
"2020","arch.us::1::P",7,0.445414112689016
"2021","arch.us::1::P",10,0.536780784958536
"2022","arch.us::1::P",8,0.461207690076771
"2016","arch.us::1::PK",13,0.384954470656134
"2017","arch.us::1::PK",11,0.323611905850499
"2018","arch.us::1::PK",11,0.430632315703893
"2019","arch.us::1::PK",7,0.310482433346125
"2020","arch.us::1::PK",7,0.302594840015507
"2021","arch.us::1::PK",12,0.431526745221516
"2022","arch.us::1::PK",10,0.431447446637022
"2015","arch.us::2::Control",29,0.188423876825861
"2016","arch.us::2::Control",17,0.407898935865013
"2017","arch.us::2::Control",12,0.40298549833186
"2018","arch.us::2::Control",13,0.435439140719518
"2019","arch.us::2::Control",15,0.526495950174084
"2020","arch.us::2::Control",16,0.454540948790083
"2021","arch.us::2::Control",11,0.420919049756801
"2022","arch.us::2::Control",12,0.387122148335774
"2016","arch.us::2::Fence",13,0.339846979082302
"2017","arch.us::2::Fence",9,0.381789933184832
"2018","arch.us::2::Fence",9,0.245804077194394
"2019","arch.us::2::Fence",8,0.27149675929974
"2020","arch.us::2::Fence",7,0.243419659213563
"2021","arch.us::2::Fence",8,0.267272282208678
"2022","arch.us::2::Fence",4,0.249867331266418
"2016","arch.us::2::K",8,0.370657751537838
"2017","arch.us::2::K",9,0.256981108297665
"2018","arch.us::2::K",12,0.310303988308544
"2019","arch.us::2::K",9,0.404493816913743
"2020","arch.us::2::K",8,0.287723048413616
"2021","arch.us::2::K",11,0.316540841160118
"2022","arch.us::2::K",9,0.347486396340522
"2016","arch.us::2::N",12,0.426325753912246
"2017","arch.us::2::N",8,0.592488630632008
"2018","arch.us::2::N",10,0.268252538026851
"2019","arch.us::2::N",6,0.660821035401491
"2020","arch.us::2::N",8,0.38301711545803
"2021","arch.us::2::N",7,0.353432424385848
"2022","arch.us::2::N",8,0.243699675698578
"2016","arch.us::2::NK",13,0.371360493657202
"2017","arch.us::2::NK",11,0.406023517484346
"2018","arch.us::2::NK",12,0.403842301015478
"2019","arch.us::2::NK",12,0.403323352694678
"2020","arch.us::2::NK",8,0.48873896905332
"2021","arch.us::2::NK",11,0.478746740239898
"2022","arch.us::2::NK",12,0.455665983852347
"2016","arch.us::2::NP",14,0.358465630336283
"2017","arch.us::2::NP",12,0.424141738507564
"2018","arch.us::2::NP",11,0.486446109224631
"2019","arch.us::2::NP",10,0.329648142965212
"2020","arch.us::2::NP",11,0.386623972572357
"2021","arch.us::2::NP",13,0.379300882539056
"2022","arch.us::2::NP",11,0.493702130558272
"2016","arch.us::2::NPK",13,0.550789227670854
"2017","arch.us::2::NPK",10,0.372341117122351
"2018","arch.us::2::NPK",9,0.388997782762725
"2019","arch.us::2::NPK",11,0.371307843557081
"2020","arch.us::2::NPK",7,0.492364414531077
"2021","arch.us::2::NPK",10,0.329830056460525
"2022","arch.us::2::NPK",10,0.416680364967439
"2016","arch.us::2::NPK+Fence",19,0.382597045085508
"2017","arch.us::2::NPK+Fence",14,0.317535271673687
"2018","arch.us::2::NPK+Fence",12,0.462995074059699
"2019","arch.us::2::NPK+Fence",10,0.428765940362887
"2020","arch.us::2::NPK+Fence",11,0.350226213989255
"2021","arch.us::2::NPK+Fence",9,0.325335472643094
"2022","arch.us::2::NPK+Fence",7,0.416890029344939
"2016","arch.us::2::P",16,0.404224804073658
"2017","arch.us::2::P",12,0.520259898383779
"2018","arch.us::2::P",15,0.335472407144112
"2019","arch.us::2::P",13,0.482057753877612
"2020","arch.us::2::P",11,0.376779247149796
"2021","arch.us::2::P",10,0.405920052764709
"2022","arch.us::2::P",13,0.386870585519135
"2016","arch.us::2::PK",13,0.344331360007519
"2017","arch.us::2::PK",9,0.344743444753824
"2018","arch.us::2::PK",11,0.433652837490285
"2019","arch.us::2::PK",8,0.325590743224808
"2020","arch.us::2::PK",8,0.537362335736829
"2021","arch.us::2::PK",7,0.326783733706342
"2022","arch.us::2::PK",10,0.455746201401554
"2015","arch.us::3::Control",45,0.256365359806283
"2016","arch.us::3::Control",16,0.42830447715724
"2017","arch.us::3::Control",12,0.551136907916984
"2018","arch.us::3::Control",10,0.38104061931751
"2019","arch.us::3::Control",11,0.432120384935939
"2020","arch.us::3::Control",7,0.263526639651502
"2021","arch.us::3::Control",10,0.259987991751715
"2022","arch.us::3::Control",8,0.281486596888557
"2016","arch.us::3::Fence",15,0.360832297481429
"2017","arch.us::3::Fence",13,0.475221642264103
"2018","arch.us::3::Fence",17,0.35177462101949
"2019","arch.us::3::Fence",11,0.293355638165239
"2020","arch.us::3::Fence",14,0.374623547896151
"2021","arch.us::3::Fence",13,0.370323646506373
"2022","arch.us::3::Fence",14,0.340906558540631
"2016","arch.us::3::K",22,0.418970625888833
"2017","arch.us::3::K",15,0.320529102617029
"2018","arch.us::3::K",13,0.506831121290102
"2019","arch.us::3::K",11,0.329282567851229
"2020","arch.us::3::K",10,0.604543598999458
"2021","arch.us::3::K",8,0.364846425657813
"2022","arch.us::3::K",12,0.304823596159319
"2016","arch.us::3::N",11,0.290307830852709
"2017","arch.us::3::N",10,0.417121283327292
"2018","arch.us::3::N",13,0.310059625621843
"2019","arch.us::3::N",8,0.319376147365805
"2020","arch.us::3::N",12,0.350227899470569
"2021","arch.us::3::N",8,0.33559832962489
"2022","arch.us::3::N",10,0.222039913715601
"2016","arch.us::3::NK",16,0.31740379097057
"2017","arch.us::3::NK",10,0.305527208194216
"2018","arch.us::3::NK",9,0.26355735773617
"2019","arch.us::3::NK",6,0.484478281426306
"2020","arch.us::3::NK",7,0.485352534559935
"2021","arch.us::3::NK",12,0.55294814911833
"2022","arch.us::3::NK",14,0.57196284361456
"2016","arch.us::3::NP",18,0.369717269810008
"2017","arch.us::3::NP",14,0.331705090396535
